string3 0,string3 1,string3 2,string3 3,float 4,float 5,float 6,float 7,float 8,int 9,float 10,float 11,float 12,float 13,int 14
"chr013run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr014","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr014symbol01","bn01","br01","",7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr014walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr014slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr014brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr014run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr015","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr015symbol01","bn01","br01","",7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr015walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr015slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr015brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr015run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr016","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr016symbol01","bn01","br01","",5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr016walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr016slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr016brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr016run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr017","bn01","br01","",6.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr017walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr017slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr017brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr017run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr019","bn01","br01","",5.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr019walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr019slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr019brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr019run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr020","bn01","br01","",6.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr020symbol01","bn01","br01","",3,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr020mob01","bn01","br01","",3,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr020walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr020slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr020brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr020run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr021","bn01","br01","",7.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr021mob01","bn01","br01","",3,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr021walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr021slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr021brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr021run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr023","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr023symbol01","bn01","br01","",6,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr023walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr023slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr023brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr023run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr024","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr024walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr024slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr024brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr024run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr025","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr025symbol01","bn01","br01","",9.75,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr025mob01","bn01","f000","",10,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr025walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr025slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr025brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr025run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr026","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr026walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr026slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr026brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr026run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr027","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr027walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr027slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr027brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr027run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr028","bn01","br01","",6.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr028symbol01","bn01","br01","",5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr028walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr028slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr028brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr028run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr030","bn01","br01","",7.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr030symbol01","bn01","br01","",6,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr030walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr030slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr030brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr030run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr031","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr031symbol01","bn01","br01","",6,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr031walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr031slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr031brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr031run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr032","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr032walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr032slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr032brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr032run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr033","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr033walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr033slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr033brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr033run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr034","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr034walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr034slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr034brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr034run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr035","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr035symbol01","bn01","br01","",6,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr035symbol02","r035_fn01","r035_fw01","",10,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr035walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr035slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr035brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr035run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr036","bn01","br01","",5.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr036walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr036slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr036brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr036run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr037","bn01","br01","",7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr037walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr037slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr037brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr037run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr038","bn01","br01","",5.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr038walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr038slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr038brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr038run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr039","bn01","br01","",5.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr039walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr039slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr039brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr039run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr040","bn01","br01","",5.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr040walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr040slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr040brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr040run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr041","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr041symbol01","bn01","br01","",5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr041walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr041slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr041brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr041run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr042","bn01","br01","",7.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr042mob01","bn01","br01","",7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr042symbol01","bn01","br01","",7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr042walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr042slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr042brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr042run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr043","bn01","br01","",7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr043symbol01","bn01","br01","",5.985,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr043walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr043slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr043brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr043run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr044","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr044mob01","bn01","bn01","",1.5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr044sp01","f000","f000","",1.5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr044symbol01","bn01","br01","",5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr044walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr044slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr044brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr044run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr045","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr045walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr045slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr045brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr045run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr046","bn01","br01","",5.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr046walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr046slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr046brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr046run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr047","bn01","br01","",5.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr047symbol01","bn01","br01","",4.5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr047walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr047slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr047brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr047run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr048","bn01","br01","",5.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr048walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr048slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr048brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr048run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr049","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr049symbol01","bn01","br01","",5.5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr049walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr049slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr049brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr049run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr050","bn01","br01","",12,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr050symbol01","bn01","br01","",5.5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr050walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr050walk2","bn01","e011","",1,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr050slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr050brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr050run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr051","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr051walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr051slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr051brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr051run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr052","bn01","br01","",7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr052symbol01","bn01","br01","",5.5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr052walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr052slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr052brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr052run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr053","bn01","br01","",7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr053symbol01","bn01","br01","",5.5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr053walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr053slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr053brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr053run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr054","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr054walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr054slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr054brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr054run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr055","bn01","br01","",7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr055walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr055slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr055brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr055run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr056","bn01","br01","",7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr056mob01","bn01","br01","",4,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr056symbol01","bn01","br01","",4,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr056walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr056slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr056brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr056run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr057","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr057walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr057slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr057brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr057run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr058","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr058symbol01","bn01","br01","",4,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr058walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr058slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr058brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr058run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr059","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr059symbol01","bn01","br01","",4,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr059walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr059slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr059brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr059run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr060","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr060symbol01","bn01","br01","",4,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr060walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr060slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr060brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr060run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr061","bn01","br01","",6.7,0,0.5,-1,-1,0,-1,-1,-1,-1,-1
"chr061mob01","bn01","br01","",3,0,0.5,-1,-1,0,-1,-1,-1,-1,-1
"chr061walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr061slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr061brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr061run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr062","bn01","br01","",6.2,0,0.5,-1,-1,0,-1,-1,-1,-1,-1
"chr063","bn01","br01","",6.2,0,0.5,-1,-1,0,-1,-1,-1,-1,-1
"chr064","bn01","br01","",6.2,0,0.5,-1,-1,0,-1,-1,-1,-1,-1
"chr065","bn01","br01","",6.2,0,0.5,-1,-1,0,-1,-1,-1,-1,-1
"chr066","bn01","br01","",6.2,0,0.5,-1,-1,0,-1,-1,-1,-1,-1
"chr067","bn01","br01","",6.2,0,0.5,-1,-1,0,-1,-1,-1,-1,-1
"chr068","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr068walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr068slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr068brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr068run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr069","bn01","br01","",7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr069symbol01","bn01","br01","",4.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr069walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr069slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr069brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr069run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr070","bn01","br01","",5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr070symbol01","bn01","br01","",4.2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr070symbol02","bn01","br01","",6,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr070symbol03","f000","f002","",2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr070symbol04","f003","f004","",2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr070symbol05","f003","f006","",2,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr070walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr070slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr070brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr070run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr071","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr071symbol01","bn01","br01","",5.5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr071walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr071slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr071brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr071run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr072","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr072symbol01","bn01","br01","",5.5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr072walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
"chr072slow_walk","bn01","br01","",1.5,0,1,1.5,3,0,-1,-1,-1,-1,-1
"chr072brisk_walk","bn01","br01","",3.5,0,1,3.5,7,0,-1,-1,-1,-1,-1
"chr072run","bn01","br01","",5,0,1,5,10,0,-1,-1,-1,-1,-1
"chr073","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr073symbol01","bn01","br01","",5.5,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr074","bn01","br01","",6.7,0,1,-1,-1,0,-1,-1,-1,-1,-1
"chr074walk","bn01","br01","",2.5,0,1,2.5,5,0,-1,-1,-1,-1,-1
