int32 0,int32 1,empty 2,int32 3,int32 4,int32 5,int32 6,empty 7,int32 8,int32 9,empty 10,int32 11,int32 12,empty 13,int32 14,int32 15,empty 16,int32 17,int32 18,empty 19,int32 20,int32 21,empty 22,int32 23,int32 24,empty 25,int32 26
312,10226,,278,0,1600,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
313,10314,,286,0,1400,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
314,10309,,283,0,1800,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
315,10369,,291,0,1700,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
316,10479,,304,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
317,10312,,285,0,2100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
318,10237,,282,0,2400,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
319,10130,,264,0,2200,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
320,10623,,309,0,1600,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
321,10431,,301,0,1800,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
322,10041,,248,0,2300,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
323,10754,,322,0,2600,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
324,10233,,281,0,2700,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
325,10050,,249,0,1200,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
326,29009,,46,0,10000,29001,,1,20001,,1,323,,3,0,,0,0,,0,0,,0,0,,0
327,29010,,49,0,10000,29002,,1,20005,,1,313,,3,0,,0,0,,0,0,,0,0,,0
328,29011,,55,0,10000,29005,,1,20006,,1,353,,3,0,,0,0,,0,0,,0,0,,0
329,29012,,58,0,10000,29006,,1,20103,,1,303,,3,0,,0,0,,0,0,,0,0,,0
330,29013,,61,0,10000,29007,,1,20500,,1,333,,3,0,,0,0,,0,0,,0,0,,0
331,29014,,64,0,10000,29008,,1,20525,,1,313,,3,0,,0,0,,0,0,,0,0,,0
332,20547,,205,0,1000,302,,3,332,,1,0,,0,0,,0,0,,0,0,,0,0,,0
333,20548,,163,0,1000,203,,3,352,,1,0,,0,0,,0,0,,0,0,,0,0,,0
334,20549,,164,0,1000,203,,3,301,,1,0,,0,0,,0,0,,0,0,,0,0,,0
335,10676,,292,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
336,10012,,400,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
337,10014,,401,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
338,10020,,402,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
339,10054,,403,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
340,10055,,404,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
341,10061,,405,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
342,10068,,406,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
343,10071,,407,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
344,10074,,408,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
345,10078,,409,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
346,10079,,410,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
347,10094,,411,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
348,10095,,412,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
349,10102,,413,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
350,10115,,414,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
351,10116,,415,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
352,10127,,416,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
353,10134,,417,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
354,10139,,418,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
355,10140,,419,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
356,10151,,420,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
357,10183,,421,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
358,10184,,422,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
359,10185,,423,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
360,10186,,424,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
361,10187,,425,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
362,10188,,426,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
363,10198,,427,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
364,10219,,428,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
365,10220,,429,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
366,10225,,430,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
367,10313,,431,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
368,10316,,432,0,1000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
369,10317,,433,0,1000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
370,10321,,434,0,1000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
371,10325,,435,0,1000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
372,10326,,436,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
373,10363,,437,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
374,10365,,438,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
375,10374,,439,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
376,10375,,440,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
377,10380,,441,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
378,10387,,442,0,1000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
379,10388,,443,0,1000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
380,10397,,444,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
381,10400,,445,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
382,10409,,446,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
383,10429,,447,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
384,10437,,448,0,1000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
385,10438,,449,0,1000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
386,10456,,450,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
387,10458,,451,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
388,10564,,452,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
389,10590,,453,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
390,10616,,454,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
391,10617,,455,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
392,10669,,456,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
393,10682,,457,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
394,10683,,458,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
395,10687,,459,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
396,10708,,460,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
397,10744,,461,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
398,10752,,462,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
399,10005,,501,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
400,10009,,502,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
401,10010,,503,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
402,10016,,504,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
403,10019,,505,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
404,10025,,506,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
405,10028,,507,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
406,10044,,508,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
407,10049,,509,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
408,10059,,510,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
409,10060,,511,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
410,10144,,512,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
411,10174,,513,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
412,10194,,514,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
413,10211,,515,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
414,10214,,516,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
415,10234,,517,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
416,10235,,518,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
417,10241,,519,0,1000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
418,10242,,520,0,1000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
419,10301,,521,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
420,10302,,522,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
421,10327,,523,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
422,10341,,524,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
423,10342,,525,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
424,10364,,526,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
425,10372,,527,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
426,10373,,528,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
427,10383,,529,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
428,10398,,530,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
429,10402,,531,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
430,10412,,532,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
431,10413,,533,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
432,10422,,534,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
433,10426,,535,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
434,10451,,536,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
435,10463,,537,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
436,10465,,538,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
437,10466,,539,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
438,10491,,540,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
439,10594,,541,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
440,10595,,542,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
441,10609,,543,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
442,10615,,544,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
443,10621,,545,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
444,10704,,546,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
445,10719,,547,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
446,10722,,548,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
447,10728,,549,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
448,10737,,550,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
449,10741,,551,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
450,10755,,552,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
451,10756,,553,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
452,10760,,554,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
453,10770,,555,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
454,10011,,601,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
455,10021,,602,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
456,10051,,603,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
457,10052,,604,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
458,10070,,605,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
459,10076,,606,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
460,10098,,607,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
461,10103,,608,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
462,10129,,609,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
463,10132,,610,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
464,10133,,611,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
465,10145,,612,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
466,10163,,613,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
467,10196,,614,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
468,10228,,615,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
469,10240,,616,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
470,10320,,617,0,1000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
471,10343,,618,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
472,10344,,619,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
473,10345,,620,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
474,10346,,621,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
475,10347,,622,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
476,10368,,623,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
477,10370,,624,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
478,10376,,625,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
479,10389,,626,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
480,10399,,627,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
481,10434,,628,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
482,10450,,629,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
483,10455,,630,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
484,10514,,631,0,1000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
485,10582,,632,0,1000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
486,10605,,633,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
487,10606,,634,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
488,10622,,635,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
489,10729,,636,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
490,10753,,637,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
491,10758,,638,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
492,10015,,701,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
493,10017,,702,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
494,10023,,703,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
495,10033,,704,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
496,10042,,705,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
497,10058,,706,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
498,10073,,707,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
499,10091,,708,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
500,10111,,709,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
501,10142,,710,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
502,10149,,711,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
503,10209,,712,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
504,10210,,713,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
505,10218,,714,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
506,10303,,715,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
507,10304,,716,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
508,10305,,717,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
509,10306,,718,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
510,10307,,719,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
511,10308,,720,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
512,10310,,721,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
513,10348,,722,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
514,10349,,723,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
515,10359,,724,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
516,10367,,725,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
517,10371,,726,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
518,10378,,727,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
519,10391,,728,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
520,10392,,729,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
521,10393,,730,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
522,10395,,731,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
523,10405,,732,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
524,10408,,733,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
525,10424,,734,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
526,10452,,735,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
527,10454,,736,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
528,10474,,737,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
529,10510,,738,0,1000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
530,10577,,739,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
531,10578,,740,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
532,10586,,741,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
533,10588,,742,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
534,10597,,743,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
535,10598,,744,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
536,10607,,745,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
537,10610,,746,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
538,10611,,747,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
539,10701,,748,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
540,10702,,749,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
541,10705,,750,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
542,10706,,751,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
543,10707,,752,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
544,10710,,753,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
545,10711,,754,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
546,10720,,755,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
547,10724,,756,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
548,10727,,757,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
549,10743,,758,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
550,10745,,759,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
551,10750,,760,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
552,10759,,761,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
553,10779,,762,0,4000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
554,10006,,801,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
555,10013,,802,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
556,10030,,803,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
557,10031,,804,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
558,10032,,805,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
559,10047,,806,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
560,10081,,807,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
561,10085,,808,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
562,10093,,809,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
563,10097,,810,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
564,10100,,811,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
565,10106,,812,0,4000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
566,10107,,813,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
567,10112,,814,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
568,10141,,815,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
569,10143,,816,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
570,10175,,817,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
571,10177,,818,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
572,10182,,819,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
573,10199,,820,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
574,10208,,821,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
575,10217,,822,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
576,10222,,823,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
577,10223,,824,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
578,10224,,825,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
579,10227,,826,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
580,10230,,827,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
581,10231,,828,0,1000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
582,10239,,829,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
583,10328,,830,0,4000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
584,10377,,831,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
585,10396,,832,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
586,10404,,833,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
587,10406,,834,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
588,10407,,835,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
589,10427,,836,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
590,10457,,837,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
591,10461,,838,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
592,10567,,839,0,1000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
593,10569,,840,0,1000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
594,10584,,841,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
595,10596,,842,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
596,10626,,843,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
597,10627,,844,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
598,10629,,845,0,1000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
599,10630,,846,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
