string2 0,empty 1,empty 2,int 3,int 4,string2 5
"chr183a_e032","","",45,120,"fn01_01"
"chr183a_e033","","",70,160,"fn01_01"
"chr183a_e052","","",105,195,"fs01_01"
"chr183a_e058","","",50,140,"fs01_01"
"chr183a_e059","","",25,115,"fs01_01"
"chr183a_e204","","",35,95,"fn01_01"
"chr183a_e206","","",99,159,"fn01_01"
"chr183a_e216","","",40,100,""
"chr183a_e500","","",60,120,"fn01_01"
"chr183a_e501","","",35,95,"fn01_01"
"chr183a_e502","","",38,110,""
"chr183a_e504","","",30,90,"fn01_01"
"chr183a_e505","","",40,225,"fn01_01"
"chr183a_e506","","",40,100,"e506"
"chr183a_e534","","",25,85,"fn01_01"
"chr183a_e554","","",230,290,"fn01_01"
"chr183a_e562","","",30,110,""
"chr183a_e564","","",38,118,""
"chr183a_e565","","",25,85,""
"chr183a_fs01_02","","",15,105,"fs01_01"
"chr184a_e002","","",120,180,"fn01_01"
"chr184a_e004","","",54,147,"fn01_01"
"chr184a_e005","","",50,140,"fn01_01"
"chr184a_e006","","",24,114,"fn01_01"
"chr184a_e007","","",40,120,"fn01_01"
"chr184a_e012","","",75,165,"fn01_01"
"chr184a_e013","","",60,150,"fn01_01"
"chr002_e004","","",28,50,"bn01"
"chr002_e005","","",30,75,"bn01"
"chr002_e006","","",10,50,"bn01"
"chr002_e007","","",20,40,"bn01"
"chr002_e008","","",25,65,"bn01"
"chr021_f004","","",65,130,"bn01"
"chr050_e004","","",9,31,"bn01"
"chr050_e005","","",35,95,"bn01"
"chr050_e006","","",13,53,"bn01"
"chr050_e007","","",28,58,"bn01"
"chr050_e008","","",20,60,"bn01"
"chr075_e004","","",35,95,"bn01"
"chr075_e005","","",30,90,"bn01"
"chr075_e006","","",20,80,"bn01"
"chr075_e007","","",23,83,"bn01"
"chr075_e008","","",25,85,"bn01"
"chr075_e101","","",90,180,"e100"
"chr075_e104","","",35,95,"e100"
"chr075_e105","","",30,110,"e100"
"chr075_e106","","",20,80,"e100"
"chr075_e107","","",23,83,"e100"
"chr075_e108","","",25,85,"e100"
"chr075_e501","","",85,175,""
"chr075_e502","","",80,170,""
"chr075_e503","","",120,210,""
"chr080_e004","","",35,85,"fn01_01"
"chr080_e005","","",30,90,"fn01_01"
"chr080_e006","","",23,83,"fn01_01"
"chr080_e007","","",28,88,"fn01_01"
"chr080_e008","","",25,85,"fn01_01"
"chr080_e012","","",30,90,"fn01_01"
"chr080_e013","","",25,85,"fn01_01"
"chr080_e104","","",25,85,"e100"
"chr080_e105","","",30,90,"e100"
"chr080_e106","","",12,72,"e100"
"chr080_e107","","",25,85,"e100"
"chr080_e108","","",20,80,"e100"
"chr080_e120","","",42,114,"e118"
"chr080_e500","","",50,110,"fn01_01"
"chr080_e501","","",20,80,"e100"
"chr088_e010","","",60,120,"fn01_01"
"chr088_e557","","",35,95,"fn01_01"
"chr091_e002","","",55,105,"bn01"
"chr100_e500","","",34,70,"bn01"
"chr136_e004","","",15,55,"bn01"
"chr136_e005","","",22,82,"bn01"
"chr136_e006","","",8,58,"bn01"
"chr136_e007","","",20,50,"bn01"
"chr136_e008","","",25,85,"bn01"
"chr140_e002","","",72,120,"bn01"
"chr140_e500","","",24,96,"bn01"
"chr151_e004","","",12,49,"bn01"
"chr151_e005","","",30,90,"bn01"
"chr151_e006","","",13,73,"bn01"
"chr151_e007","","",25,65,"bn01"
"chr151_e008","","",20,80,"bn01"
"chr162_e002","","",65,125,"bn01"
"chr162_e007","","",20,80,"bn01"
"chr162_e007_01","","",31,83,"bn01"
"chr162_e008","","",25,85,"bn01"
"chr162_e500","","",50,100,"bn01"
"chr162_e502","","",105,165,"bn01"
"chr163_e004","","",25,105,"bn01"
"chr163_e005","","",20,100,"bn01"
"chr163_e006","","",10,90,"bn01"
"chr163_e007","","",32,112,"bn01"
"chr163_e008","","",20,100,"bn01"
"chr163_e012","","",20,100,"bn01"
"chr163_e013","","",36,116,"bn01"
"chr168_e004","","",28,88,"fn01_01"
"chr168_e005","","",20,80,"fn01_01"
"chr168_e006","","",13,73,"fn01_01"
"chr168_e007","","",10,70,"fn01_01"
"chr168_e008","","",20,80,"fn01_01"
"chr169_e004","","",28,88,"bn01"
"chr169_e005","","",20,80,"bn01"
"chr169_e006","","",13,73,"bn01"
"chr169_e007","","",13,73,"bn01"
"chr169_e008","","",20,80,"bn01"
"chr170_e002","","",70,160,"bn01"
"chr170_e004","","",20,100,"bn01"
"chr170_e005","","",20,100,"bn01"
"chr170_e006","","",13,94,"bn01"
"chr170_e007","","",15,75,"bn01"
"chr170_e008","","",20,101,"bn01"
"chr171_e004","","",20,80,"bn01"
"chr171_e005","","",20,80,"bn01"
"chr171_e006","","",13,103,"bn01"
"chr171_e007","","",25,85,"bn01"
"chr171_e008","","",20,80,"bn01"
"chr171_e011","","",25,110,""
"chr172_e002_01","","",80,188,"fn01_01"
"chr172_e004","","",20,80,"bn01"
"chr172_e004_01","","",35,95,"fn01_01"
"chr172_e005","","",20,80,"bn01"
"chr172_e005_01","","",46,106,"fn01_01"
"chr172_e006","","",18,78,"bn01"
"chr172_e006_01","","",18,78,"fn01_01"
"chr172_e007","","",20,80,"bn01"
"chr172_e007_01","","",20,80,"fn01_01"
"chr172_e008","","",20,80,"bn01"
"chr172_e008_01","","",20,80,"fn01_01"
"chr172_e012","","",20,80,"bn01"
"chr172_e012_01","","",20,80,"fn01_01"
"chr172_e013","","",20,80,"bn01"
"chr172_e013_01","","",20,80,"fn01_01"
"chr172_e502","","",70,178,"fn01_01"
"chr173_e004","","",35,95,"bn01"
"chr173_e005","","",30,90,"bn01"
"chr173_e006","","",20,80,"bn01"
"chr173_e007","","",25,85,"bn01"
"chr173_e008","","",25,85,"bn01"
"chr173_e013","","",20,80,"bn01"
"chr173_e210","","",30,90,""
"chr173_e211","","",30,90,""
"chr174_e004","","",35,95,"bn01"
"chr174_e005","","",30,90,"bn01"
"chr174_e006","","",20,80,"bn01"
"chr174_e007","","",25,85,"bn01"
"chr174_e008","","",25,85,"bn01"
"chr174_e012","","",20,80,"bn01"
"chr174_e013","","",20,80,"bn01"
"chr178_e002","","",70,110,"fn01_01"
"chr178_e004","","",35,75,"fn01_01"
"chr178_e005","","",30,70,"fn01_01"
"chr178_e006","","",20,60,"fn01_01"
"chr178_e007","","",25,65,"fn01_01"
"chr178_e008","","",25,65,"fn01_01"
"chr178_e012","","",30,70,"fn01_01"
"chr178_e013","","",25,65,"fn01_01"
"chr178_e504","","",22,82,"e503"
"chr178_e505","","",24,84,"e503"
"chr178_e506","","",102,142,"fn01_01"
"chr179_e004","","",35,95,"bn01"
"chr179_e005","","",30,90,"bn01"
"chr179_e006","","",20,80,"bn01"
"chr179_e007","","",23,83,"bn01"
"chr179_e008","","",25,85,"bn01"
"chr179_e116","","",60,150,"bn01"
"chr179_e502","","",70,160,"e501"
"chr180_e004","","",24,84,"bn01"
"chr180_e005","","",30,90,"bn01"
"chr180_e006","","",20,80,"bn01"
"chr180_e007","","",23,83,"bn01"
"chr180_e008","","",25,85,"bn01"
"chr180_e121","","",205,285,"bn01"
"chr180_e122","","",54,134,"e100"
"chr180_e123","","",60,140,"e100"
"chr180_e500","","",80,158,"bn02"
"chr181_e004","","",26,86,"fn01_01"
"chr181_e005","","",20,80,"fn01_01"
"chr181_e006","","",20,80,"fn01_01"
"chr181_e007","","",14,74,"fn01_01"
"chr181_e008","","",20,80,"fn01_01"
"chr181_e013","","",20,80,"fn01_01"
"chr181_e501","","",70,130,"bn01"
"chr189_e004","","",26,86,"bn01"
"chr189_e005","","",20,80,"bn01"
"chr189_e006","","",16,76,"bn01"
"chr189_e007","","",26,86,"bn01"
"chr189_e008","","",26,86,"bn01"
"chr208_e500","","",25,65,"bn01"
"chr232_e002","","",0,0,"bn01"
"chr232_e004","","",17,57,"bn01"
"chr232_e005","","",30,90,"bn01"
"chr232_e006","","",10,50,"bn01"
"chr232_e007","","",15,55,"bn01"
"chr232_e007_01","","",39,79,"bn01"
"chr232_e008","","",26,66,"bn01"
"chr232_e013","","",20,60,"bn01"
"chr232_e503","","",47,100,"bn01"
"chr234_e004","","",20,80,"bn01"
"chr234_e005","","",30,90,"bn01"
"chr234_e006","","",12,72,"bn01"
"chr234_e007","","",12,56,"bn01"
"chr234_e008","","",20,80,"bn01"
"chr234_e500","","",20,80,"bn01"
"chr365_e002","","",70,120,"bn01"
"chr368_e002","","",106,170,"bn01"
"chr372_e500","","",20,50,"bn01"
"chr377_e002","","",75,125,"bn01"
"chr403_e002","","",72,112,"bn01"
"chr403_e004","","",24,64,"bn01"
"chr403_e005","","",30,80,"bn01"
"chr403_e006","","",8,48,"bn01"
"chr403_e007","","",8,60,"bn01"
"chr403_e008","","",20,60,"bn01"
"chr403_e500","","",0,80,"bn01"
"chr404_e500","","",30,60,"bn01"
"chr416_e009","","",92,105,"fn01_01"
"chr416_e010","","",55,115,"fn01_01"
"chr416_e557","","",40,100,"fn01_01"
"chr440_e500","","",30,60,"bn01"
"chr452_e500","","",23,53,"bn01"
"chr458_e500","","",28,58,"bn01"
"chr492_e011","","",50,120,"bn01"
"chr492_e500","","",40,100,""
"chr492_f000","","",60,120,""
"chr590_e500","","",33,63,"bn01"
"chr596_e002","","",120,180,"bn01"
"chr596_e021","","",28,88,"bn01"
"chr598_e500","","",30,60,"bn01"
"chr601_e002","","",90,150,"bn01"
"chr615_e500","","",24,42,"bn01"
"chr606_e002","","",80,140,"bn01"
"chr606_e513","","",80,128,"e500"
"chr701_e004","","",10,60,"bn01"
"chr701_e005","","",22,110,"bn01"
"chr701_e006","","",13,101,"bn01"
"chr701_e007","","",65,153,"bn01"
"chr701_e008","","",20,64,"bn01"
"chr706_e002","","",100,160,"bn01"
"chr718_e021","","",20,120,"f000"
"chr733_e004","","",25,75,"fn01_01"
"chr733_e005","","",25,75,"fn01_01"
"chr733_e006","","",13,63,"fn01_01"
"chr733_e007","","",17,67,"fn01_01"
"chr733_e008","","",25,100,"fn01_01"
"chr733_e012","","",30,80,"fn01_01"
"chr733_e013","","",30,105,"fn01_01"
"chr733_e210","","",30,90,""
"chr733_e211","","",30,90,""
"chr747_e002","","",122,182,"fn01_01"
"chr747_e004","","",60,118,"fn01_01"
"chr747_e005","","",30,90,"fn01_01"
"chr747_e006","","",56,128,"fn01_01"
"chr747_e007","","",65,106,"fn01_01"
"chr747_e008","","",39,128,"fn01_01"
"chr747_e009","","",48,95,"fn01_01"
"chr747_e010","","",60,110,"fn01_01"
"chr747_e012","","",37,104,"fn01_01"
"chr747_e013","","",62,129,"fn01_01"
"chr747_e018","","",58,107,"fn01_01"
"chr747_e021","","",50,100,"fn01_01"
"chr747_e023","","",35,119,"fn01_01"
"chr747_e031","","",46,134,"fn01_01"
"chr747_e032","","",50,114,"fn01_01"
"chr747_e033","","",83,173,"fn01_01"
"chr747_e052","","",140,220,"fs01_01"
"chr747_e058","","",78,173,"fs01_01"
"chr747_e059","","",32,82,"fs01_01"
"chr747_e501","","",30,70,"fn01_01"
"chr747_e502","","",30,90,"fn01_01"
"chr747_e509","","",50,110,"bn01"
"chr747_e511","","",85,175,"e510"
"chr747_e512","","",32,93,"bn01"
"chr748_e557","","",40,100,"fn01_01"
"chr725_f001","","",249,250,"f002"
"chr774_e002","","",120,180,"bn01"
"chr774_e500","","",35,95,"bn01"
"chr824_e002","","",0,0,"bn01"
"chr915_e504","","",147,195,"bn01"
"chr915_e505","","",60,140,""
"chr915_e507","","",147,195,""
"chr916_e004","","",28,88,"bn01"
"chr916_e005","","",20,80,"bn01"
"chr916_e006","","",13,73,"bn01"
"chr916_e007","","",14,74,"bn01"
"chr916_e008","","",20,80,"bn01"
"chr916_e121","","",195,275,"bn02"
"chr916_e500","","",126,206,""
"chr916_e502","","",78,138,"bn01"
"chr924_e502","","",46,106,"fd01_01"
"chr926_e501","","",60,120,"bn01"
"chr931_e002","","",0,0,"bn01"
"chr950_e500","","",60,160,""
"chr950_e501","","",135,235,""
"chr950_e502","","",150,220,""
"ATCwinebottle00_e500","","",230,290,""
"ATCdigivice00_e200","","",100,200,"fn01_01"
"ATCdigivice00_e999","","",100,200,"fn01_01"
"t0201traffic01a_move01","","",152,160,"fn01_01"
"t0201traffic01a_move02","","",281,290,"fn01_01"
