int32 0,string2 1,empty 2,empty 3,string2 4,string2 5,float 6,float 7,float 8,float 9,float 10,float 11,float 12,float 13,int32 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,float 24,int32 25,float 26,float 27,string2 28,int32 29
154,"chr016",,,"ba01","J_hand_r",0,-70,0,0.5,0,-73,0,0.6,1,4,4.43,4.86,5.29,5.71,6.14,6.57,7,-1,0,20,0.52,0.48,"",2
155,"chr016",,,"ba01","J_hand_r",0,-110,0,0.5,0,-107,0,0.6,1,4,4.43,4.86,5.29,5.71,6.14,6.57,7,-1,0,20,0.52,0.48,"",2
156,"chr597",,,"ba01","J_te_R_a",0,-90,0,0.65,0,-150,0,0.9,1,15,15.43,15.86,16.29,16.71,17.14,17.57,18,-1,0,20,0,0,"",2
157,"chr698",,,"ba01","J_head",-16,0,0,0.4,-22,0,0,1.05,0,12,23,-1,-1,-1,-1,-1,-1,23,3,102,0,0,"",2
158,"chr614",,,"ba01","J_blade_r",0,-90,0,0.2,7,-90,0,2,0,16,24,-1,-1,-1,-1,-1,-1,24,3,60,0,0,"",2
159,"chr614",,,"ba01","J_blade_l",0,90,0,0.2,7,90,0,2,0,11,24,-1,-1,-1,-1,-1,-1,24,3,60,0,0,"",2
160,"chr116",,,"ba01","J_foot_l",60,0,0,0.4,75,0,0,0.9,1,24,24.29,24.57,24.86,25.14,25.43,25.71,26,-1,0,20,0,0,"",2
161,"chr440",,,"ba01","J_weapon",0,0,0,3,0,0,0,9,1,23,23.14,23.29,23.43,23.57,23.71,23.86,24,25,0,21,0,0,"",2
162,"chr128",,,"ba01","J_pinky_r",-30,-90,0,0.5,-30,-90,0,0.65,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,-1,0,8,0.48,0.48,"",2
163,"chr128",,,"ba01","J_middle_r",-50,-90,0,0.5,-50,-90,0,0.65,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,-1,0,8,0.48,0.48,"",2
164,"chr128",,,"ba01","J_index_r",-20,-90,0,0.5,-20,-90,0,0.65,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,-1,0,8,0.48,0.48,"",2
165,"chr631",,,"ba01","J_hiza_F",60,0,0,0.15,60,0,0,0.2,1,10,10.57,11.14,11.71,12.29,12.86,13.43,14,-1,0,8,1,0.39,"",2
166,"chr631",,,"ba01","J_momo_R1",60,0,-45,0.25,50,0,-45,0.3,1,10,10.57,11.14,11.71,12.29,12.86,13.43,14,-1,0,8,0.46,0.39,"",2
167,"chr631",,,"ba01","J_hiza_L1",60,0,45,0.2,50,0,45,0.25,1,10,10.57,11.14,11.71,12.29,12.86,13.43,14,-1,0,8,1,0.39,"",2
168,"chr631",,,"ba01","J_hiza_R1",60,0,-45,0.2,50,0,-45,0.25,1,10,10.57,11.14,11.71,12.29,12.86,13.43,14,-1,0,8,1,0.39,"",2
169,"chr038",,,"ba01","J_ring03_l",0,90,0,0.5,0,90,0,0.55,1,7,7.43,7.86,8.29,8.71,9.14,9.57,10,10,0,20,0.5,0.52,"",2
170,"chr038",,,"ba01","J_middle03_l",0,90,0,0.5,0,90,0,0.55,1,7,7.43,7.86,8.29,8.71,9.14,9.57,10,10,0,20,0.5,0.52,"",2
171,"chr038",,,"ba01","J_index03_l",0,90,0,0.5,0,90,0,0.55,1,7,7.43,7.86,8.29,8.71,9.14,9.57,10,10,0,20,0.52,0.54,"",2
172,"chr733",,,"ba01","J_weapon",0,0,0,0.9,0,0,0,1.1,1,18,18.57,19.14,19.71,20.29,20.86,21.43,22,22,3,20,0,0,"",3
173,"chr632",,,"ba01","J_yubi_L",60,0,80,1.2,65,0,80,1.4,1,16,16.29,16.57,16.86,17.14,17.43,17.71,18,18,0,20,0.52,0.52,"",2
174,"chr632",,,"ba01","J_yubi_L",90,0,80,1.2,90,0,80,1.4,1,16,16.29,16.57,16.86,17.14,17.43,17.71,18,18,0,20,0.52,0.52,"",2
175,"chr632",,,"ba01","J_yubi_L",120,0,80,1.2,115,0,80,1.4,1,16,16.29,16.57,16.86,17.14,17.43,17.71,18,18,0,20,0.52,0.52,"",2
176,"chr023",,,"ba01","J_middle02_r",0,-90,0,0.5,0,-90,0,0.6,1,9,9.29,9.57,9.86,10.14,10.43,10.71,11,11,0,8,0.46,0.48,"",2
177,"chr023",,,"ba01","J_index02_r",0,-90,0,0.5,0,-90,0,0.6,1,9,9.29,9.57,9.86,10.14,10.43,10.71,11,11,0,8,0.46,0.48,"",2
178,"chr023",,,"ba01","J_thumb02_r",0,-110,0,0.5,0,-110,0,0.6,1,9,9.29,9.57,9.86,10.14,10.43,10.71,11,11,0,8,0.46,0.48,"",2
179,"chr474",,,"ba01","J_Nata",0,0,0,0.2,0,0,0,0.7,0,10,10.57,11.14,11.71,12.29,12.86,13.43,14,-1,0,8,0,0,"",2
180,"chr363",,,"ba01","J_yubi_L",30,120,0,0.11,30,117,0,0.12,1,10,10.29,10.57,10.86,11.14,11.43,11.71,12,12,0,8,0.46,0.46,"",2
181,"chr363",,,"ba01","J_yubi_L",30,90,0,0.11,30,90,0,0.12,1,10,10.29,10.57,10.86,11.14,11.43,11.71,12,12,0,8,0.46,0.46,"",2
182,"chr363",,,"ba01","J_yubi_L",30,60,0,0.11,30,63,0,0.12,1,10,10.29,10.57,10.86,11.14,11.43,11.71,12,12,0,8,0.46,0.46,"",2
183,"chr093",,,"ba01","J_hand_l",0,90,0,0.9,0,90,0,1,1,8,8.1,8.2,8.3,9.71,10.14,10.57,11,11,0,8,0.5,0.48,"",2
184,"chr105",,,"ba01","J_weapon01",-90,0,0,0.6,-90,0,0,3.3,1,15,15.43,15.86,16.29,16.71,17.14,17.57,18,-1,0,8,0,0,"",2
185,"chr738",,,"ba01","J_ring_r",0,-90,0,0.5,0,-90,0,0.6,1,6,6.43,6.86,7.29,7.71,8.14,8.57,9,9,0,8,0.48,0.43,"",2
186,"chr738",,,"ba01","J_middle_r",0,-90,0,0.5,0,-90,0,0.6,1,6,6.43,6.86,7.29,7.71,8.14,8.57,9,9,0,8,0.48,0.43,"",2
187,"chr738",,,"ba01","J_fore_r",0,-90,0,0.5,0,-90,0,0.6,1,6,6.43,6.86,7.29,7.71,8.14,8.57,9,9,0,8,0.48,0.43,"",2
188,"chr699",,,"ba01","J_elbow_r",-90,0,0,0.5,-90,0,0,2.1,1,14,14.29,14.57,14.86,15.14,15.43,15.71,16,-1,0,8,0,0,"",2
189,"chr699",,,"ba01","J_elbow_l",90,0,0,0.5,90,0,0,2.1,1,14,14.29,14.57,14.86,15.14,15.43,15.71,16,-1,0,8,0,0,"",2
190,"chr700",,,"ba01","J_knee_r",110,0,0,0.6,85,0,0,1.35,0,13,13.43,13.86,14.29,14.71,15.14,15.57,16,-1,0,8,0,0,"",2
191,"chr303",,,"ba01","J_te_R",0,-90,0,0.6,0,-90,0,1,1,18,18.29,18.57,18.86,19.14,19.43,19.71,20,-1,0,8,0.52,0.48,"",2
192,"chr739",,,"ba01","J_weapon",0,0,0,0.8,0,0,0,2.6,1,18,18.57,19.14,19.71,20.29,20.86,21.43,22,22,2,8,0,0,"",2
193,"chr743",,,"ba01","J_hand_r",10,-23,0,0.65,8,-20,0,0.75,1,18,18.29,18.57,18.86,19.14,19.43,19.71,20,20,0,8,0.46,0.52,"",2
194,"chr743",,,"ba01","J_hand_r",10,0,0,0.65,8,0,0,0.75,1,18,18.29,18.57,18.86,19.14,19.43,19.71,20,20,0,8,0.46,0.52,"",2
195,"chr743",,,"ba01","J_hand_r",10,23,0,0.65,8,20,0,0.75,1,18,18.29,18.57,18.86,19.14,19.43,19.71,20,20,0,8,0.46,0.52,"",2
196,"chr457",,,"ba01","J_yubi04_02_R",-120,0,45,0.025,-120,0,45,0.03,1,12,12.29,12.57,12.86,13.14,13.43,13.71,14,15,0,8,0.5,0.48,"",2
197,"chr457",,,"ba01","J_yubi03_02_R",-120,0,45,0.025,-120,0,45,0.03,1,12,12.29,12.57,12.86,13.14,13.43,13.71,14,15,0,8,0.5,0.48,"",2
198,"chr457",,,"ba01","J_yubi02_02_R",-120,0,45,0.025,-120,0,45,0.03,1,15,14.86,14.71,14.57,14.43,14.29,14.14,14,15,0,8,0.5,0.48,"",2
199,"chr033",,,"ba01","J_pinky02_r",-30,-210,0,0.6,-30,-210,0,0.7,1,14,14.57,15.14,15.71,16.29,16.86,17.43,18,18.5,2,8,0.52,0.52,"",2
200,"chr033",,,"ba01","J_thumb02_r",-30,210,0,0.6,-25,220,0,0.7,1,14,14.57,15.14,15.71,16.29,16.86,17.43,18,18.5,2,8,0.59,0.52,"",2
201,"chr033",,,"ba01","J_middle02_r",-20,180,0,0.6,-20,180,0,0.7,1,14,14.57,15.14,15.71,16.29,16.86,17.43,18,18.5,2,8,0.54,0.5,"",2
202,"chr373",,,"ba01","J_te_R",-20,145,0,1.2,-20,147,0,1.3,1,15,15.29,15.57,15.86,16.14,16.43,16.71,17,18,0,8,0.48,0.5,"",2
203,"chr373",,,"ba01","J_te_R",-20,180,0,1.2,-20,180,0,1.3,1,15,15.29,15.57,15.86,16.14,16.43,16.71,17,18,0,8,0.48,0.5,"",2
204,"chr373",,,"ba01","J_te_R",-20,215,0,1.2,-20,212,0,1.3,1,15,15.29,15.57,15.86,16.14,16.43,16.71,17,18,0,8,0.48,0.5,"",2
205,"chr019",,,"ba01","J_tail12",0,180,0,0.3,0,180,0,0.6,1,9,9.86,10.71,11.57,12.43,13.29,14.14,15,-1,2,8,0,0,"",2
206,"chr718",,,"ba01","J_weapon",0,0,0,0.7,0,0,0,2.9,1,21,21.29,21.57,21.86,22.14,22.43,22.71,23,24,0,8,0,0,"",2
207,"chr147",,,"ba01","J_toe_f_r",20,0,0,0.2,20,0,0,0.25,1,13,13.29,13.57,13.86,14.14,14.43,14.71,15,14.999999,0,8,0.48,0.5,"",2
208,"chr147",,,"ba01","J_toe_f_r",20,30,0,0.2,20,25,0,0.25,1,13,13.29,13.57,13.86,14.14,14.43,14.71,15,14.999999,0,8,0.48,0.5,"",2
209,"chr147",,,"ba01","J_toe_f_r",20,-30,0,0.2,20,-25,0,0.25,1,13,13.29,13.57,13.86,14.14,14.43,14.71,15,14.999999,0,8,0.48,0.5,"",2
210,"chr308",,,"ba01","J_tumasaki_L",0,0,0,0.8,0,0,0,1,1,22,22.29,22.57,22.86,23.14,23.43,23.71,24,24,0,8,0.48,0.5,"",2
211,"chr308",,,"ba01","J_tumasaki_L",0,40,0,0.8,0,30,0,1,1,22,22.29,22.57,22.86,23.14,23.43,23.71,24,24,0,8,0.48,0.5,"",2
212,"chr308",,,"ba01","J_tumasaki_L",0,-40,0,0.8,0,-30,0,1,1,22,22.29,22.57,22.86,23.14,23.43,23.71,24,24,0,8,0.48,0.5,"",2
213,"chr308",,,"ba01","J_tumasaki_R",0,0,0,0.8,0,0,0,1,1,22,22.29,22.57,22.86,23.14,23.43,23.71,24,24,0,8,0.48,0.5,"",2
214,"chr308",,,"ba01","J_tumasaki_R",0,40,0,0.8,0,30,0,1,1,22,22.29,22.57,22.86,23.14,23.43,23.71,24,24,0,8,0.48,0.5,"",2
215,"chr308",,,"ba01","J_tumasaki_R",0,-40,0,0.8,0,-30,0,1,1,22,22.29,22.57,22.86,23.14,23.43,23.71,24,24,0,8,0.48,0.5,"",2
216,"chr408",,,"ba01","J_R_hand",0,-90,0,0.7,0,-90,0,0.8,1,16,16.57,17.14,17.71,18.29,18.86,19.43,20,20,0,8,0.5,0.5,"",2
217,"chr408",,,"ba01","J_R_hand",0,-75,0,0.7,0,-77,0,0.8,1,16,16.57,17.14,17.71,18.29,18.86,19.43,20,20,0,8,0.5,0.5,"",2
218,"chr408",,,"ba01","J_R_hand",0,-105,0,0.7,0,-103,0,0.8,1,16,16.57,17.14,17.71,18.29,18.86,19.43,20,20,0,8,0.5,0.5,"",2
219,"chr115",,,"ba01","J_tail07",180,0,0,0.1,180,0,0,0.9,0,10,18,-1,-1,-1,-1,-1,-1,-1,4,8,0,0,"",2
220,"chr687",,,"ba01","J_yubi_L",0,0,0,0.2,20,0,0,0.3,1,6,6.43,6.86,7.29,7.71,8.14,8.57,9,-1,0,8,0.52,0.5,"",2
221,"chr687",,,"ba01","J_yubi_L",0,35,0,0.2,20,25,0,0.3,1,6,6.43,6.86,7.29,7.71,8.14,8.57,9,-1,0,8,0.52,0.5,"",2
222,"chr687",,,"ba01","J_yubi_L",0,-35,0,0.2,20,-25,0,0.3,1,6,6.43,6.86,7.29,7.71,8.14,8.57,9,-1,0,8,0.52,0.5,"",2
223,"chr348",,,"ba01","J_te_R",20,-70,0,0.3,20,-75,0,0.35,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,21,0,8,0.52,0.5,"",2
224,"chr348",,,"ba01","J_te_R",20,-90,0,0.3,20,-90,0,0.35,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,21,0,8,0.52,0.48,"",2
225,"chr348",,,"ba01","J_te_R",20,-110,0,0.3,20,-105,0,0.35,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,21,0,8,0.48,0.5,"",2
226,"chr348",,,"ba01","J_te_L",20,70,0,0.3,20,75,0,0.35,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,21,0,8,0.5,0.5,"",2
227,"chr348",,,"ba01","J_te_L",20,90,0,0.3,20,90,0,0.35,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,21,0,8,0.5,0.5,"",2
228,"chr348",,,"ba01","J_te_L",20,110,0,0.3,20,105,0,0.35,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,21,0,8,0.52,0.5,"",2
229,"chr486",,,"ba01","J_yoyobody_r",90,90,0,-0.05,90,90,0,0.05,0,10,17,-1,-1,-1,-1,-1,-1,17,3,30,0,0.5,"",2
230,"chr049",,,"ba01","J_weapon_l",0,0,0,0.5,0,2,0,2,1,14,14.57,15.14,15.71,16.29,16.86,17.43,18,18,2,8,0,0,"",2
231,"chr427",,,"ba01","J_sword1_L",-135,100,0,0.2,-135,100,0,0.7,0,15,29,-1,-1,-1,-1,-1,-1,-1,3,30,0,0,"",2
232,"chr427",,,"ba01","J_sword2_R",45,100,0,0.2,45,100,0,0.7,0,15,29,-1,-1,-1,-1,-1,-1,-1,3,30,0,0,"",2
233,"chr271",,,"ba01","J_finger03_r",90,90,0,0.3,90,90,0,0.4,1,14,14.29,14.57,14.86,15.14,15.43,15.71,16,16,0,8,0.5,0.5,"",2
234,"chr271",,,"ba01","J_finger02_r",90,90,0,0.3,90,90,0,0.4,1,14,14.29,14.57,14.86,15.14,15.43,15.71,16,16,0,8,0.5,0.5,"",2
235,"chr271",,,"ba01","J_finger01_r",90,90,0,0.3,90,90,0,0.4,1,14,14.29,14.57,14.86,15.14,15.43,15.71,16,16,0,8,0.5,0.5,"",2
236,"chr082",,,"ba01","J_f_toe03_r",0,5,0,0.95,0,8,0,1.1,1,15,15.29,15.57,15.86,16.14,16.43,16.71,17,17,0,8,0.48,0.5,"",2
237,"chr082",,,"ba01","J_f_toe02_r",0,0,0,0.95,0,0,0,1.1,1,15,15.29,15.57,15.86,16.14,16.43,16.71,17,17,0,8,0.48,0.5,"",2
238,"chr082",,,"ba01","J_f_toe01_r",0,-5,0,0.95,0,-8,0,1.1,1,15,15.29,15.57,15.86,16.14,16.43,16.71,17,17,0,8,0.48,0.5,"",2
239,"chr307",,,"ba01","J_tume_R",0,-75,0,0.5,0,-80,0,0.7,1,11.5,11.71,11.93,12.14,12.36,12.57,12.79,13,14,0,8,0.48,0.5,"",2
240,"chr307",,,"ba01","J_tume_R",0,-90,0,0.5,0,-90,0,0.7,1,11.5,11.71,11.93,12.14,12.36,12.57,12.79,13,14,0,8,0.48,0.5,"",2
241,"chr307",,,"ba01","J_tume_R",0,-105,0,0.5,0,-102,0,0.7,1,11.5,11.71,11.93,12.14,12.36,12.57,12.79,13,14,0,8,0.48,0.5,"",2
242,"chr307",,,"ba01","J_tume_L",0,75,0,0.5,0,80,0,0.7,1,11.5,11.71,11.93,12.14,12.36,12.57,12.79,13,14,0,8,0.48,0.5,"",2
243,"chr307",,,"ba01","J_tume_L",0,90,0,0.5,0,90,0,0.7,1,11.5,11.71,11.93,12.14,12.36,12.57,12.79,13,14,0,8,0.48,0.5,"",2
244,"chr307",,,"ba01","J_tume_L",0,105,0,0.5,0,102,0,0.7,1,11.5,11.71,11.93,12.14,12.36,12.57,12.79,13,14,0,8,0.48,0.5,"",2
245,"chr137",,,"ba01","J_ring01_r",0,0,0,0.15,0,10,0,0.25,1,13.5,13.79,14.07,14.36,14.64,14.93,15.21,15.5,16,0,8,0.5,0.48,"",2
246,"chr137",,,"ba01","J_middle01_r",0,0,0,0.15,0,0,0,0.25,1,13.5,13.79,14.07,14.36,14.64,14.93,15.21,15.5,16,0,8,0.5,0.5,"",2
247,"chr137",,,"ba01","J_index01_r",0,0,0,0.15,0,-5,0,0.25,1,13.5,13.79,14.07,14.36,14.64,14.93,15.21,15.5,16,0,8,0.48,0.41,"",2
248,"chr584",,,"ba01","J_sickle",-90,90,0,1.2,-90,90,0,1.65,0,4,12,-1,-1,-1,-1,-1,-1,12,2,8,0,0,"",2
249,"chr397",,,"ba01","J_fingerR3",35,0,0,0.25,45,0,0,0.3,1,11,11.5,12,12.5,13,13.5,14,14.5,15,0,20,0.48,0.48,"",2
250,"chr397",,,"ba01","J_fingerR3",75,0,0,0.25,77,0,0,0.3,1,11,11.5,12,12.5,13,13.5,14,14.5,15,0,20,0.48,0.48,"",2
251,"chr397",,,"ba01","J_fingerR3",120,0,0,0.25,114,0,0,0.3,1,11,11.5,12,12.5,13,13.5,14,14.5,15,0,20,0.48,0.48,"",2
252,"chr574",,,"ba01","J_weapon_l",0,0,0,0.3,0,-2,0,1.7,1,12,12.43,12.86,13.29,13.71,14.14,14.57,15,-1,-1,8,0,0,"",2
253,"chr574",,,"ba01","J_weapon_r",0,0,0,0.3,0,2,0,1.7,1,10,10.43,10.86,11.29,11.71,12.14,12.57,13,-1,-1,8,0,0,"",2
254,"chr724",,,"ba01","J_head",-50,0,0,0.8,-50,0,0,0.9,1,6,6.57,7.14,7.71,8.29,8.86,9.43,10,13,3,8,0.5,0.5,"",2
255,"chr180",,,"ba01","J_ring03_r",0,-90,0,0.15,0,-88,0,0.2,1,11,11.57,12.14,12.71,13.29,13.86,14.43,15,15,2,8,0.52,0.5,"",2
256,"chr180",,,"ba01","J_middle03_r",0,-90,0,0.15,0,-90,0,0.2,1,11,11.57,12.14,12.71,13.29,13.86,14.43,15,15,2,8,0.52,0.5,"",2
257,"chr180",,,"ba01","J_index03_r",0,-90,0,0.15,0,-94,0,0.2,1,11,11.57,12.14,12.71,13.29,13.86,14.43,15,15,2,8,0.48,0.48,"",2
258,"chr138",,,"ba01","J_ring03_r",20,-90,0,0.2,20,-88,0,0.3,0,16,16.57,17.14,17.71,18.29,18.86,19.43,20,20,3,8,0.48,0.5,"",2
259,"chr138",,,"ba01","J_middle03_r",40,-90,0,0.2,40,-90,0,0.3,0,16,16.57,17.14,17.71,18.29,18.86,19.43,20,20,3,8,0.52,0.48,"",2
260,"chr138",,,"ba01","J_index03_r",20,-90,0,0.2,20,-98,0,0.3,0,16,16.57,17.14,17.71,18.29,18.86,19.43,20,20,3,8,0.48,0.5,"",2
261,"chr294",,,"ba01","J_ring01_l",0,90,0,0.35,0,90,0,0.4,1,14,14.57,15.14,15.71,16.29,16.86,17.43,18,18,2,8,0.46,0.48,"",2
262,"chr294",,,"ba01","J_middle01_l",0,90,0,0.35,0,90,0,0.4,1,14,14.57,15.14,15.71,16.29,16.86,17.43,18,18,2,8,0.46,0.48,"",2
263,"chr294",,,"ba01","J_index01_l",0,90,0,0.35,0,90,0,0.4,1,14,14.57,15.14,15.71,16.29,16.86,17.43,18,18,2,8,0.46,0.48,"",2
264,"chr294",,,"ba01","J_ring01_r",0,-90,0,0.35,0,-90,0,0.4,1,14,14.43,14.86,15.29,15.71,16.14,16.57,17,17,2,8,0.46,0.48,"",2
265,"chr294",,,"ba01","J_middle01_r",0,-90,0,0.35,0,-90,0,0.4,1,14,14.43,14.86,15.29,15.71,16.14,16.57,17,17,2,8,0.46,0.48,"",2
266,"chr294",,,"ba01","J_index01_r",0,-90,0,0.35,0,-90,0,0.4,1,14,14.43,14.86,15.29,15.71,16.14,16.57,17,17,2,8,0.46,0.48,"",2
267,"chr234",,,"ba01","J_finger03_r",0,-90,0,0.2,0,-90,0,0.25,1,8,8.29,8.57,8.86,9.14,9.43,9.71,10,10,0,8,0.46,0.5,"",2
268,"chr234",,,"ba01","J_finger02_r",0,-90,0,0.2,0,-90,0,0.25,1,8,8.29,8.57,8.86,9.14,9.43,9.71,10,10,0,8,0.46,0.5,"",2
269,"chr234",,,"ba01","J_finger01_r",0,-90,0,0.2,0,-90,0,0.25,1,8,8.29,8.57,8.86,9.14,9.43,9.71,10,10,0,8,0.46,0.5,"",2
270,"chr670",,,"ba01","J_sword_r",-7,0,0,0.6,-2,0,0,1.7,1,20,20.43,20.86,21.29,21.71,22.14,22.57,23,23,2,8,0,0,"",2
271,"chr670",,,"ba01","J_sword_r",7,0,0,0.6,2,0,0,1.7,1,20,20.43,20.86,21.29,21.71,22.14,22.57,23,23,2,8,0,0,"",2
272,"chr233",,,"ba01","J_finger10_r",90,0,0,0.4,90,0,0,0.5,1,12,12.29,12.57,12.86,13.14,13.43,13.71,14,14,0,8,0.52,0.52,"",2
273,"chr233",,,"ba01","J_finger02_r",90,0,0,0.4,90,0,0,0.5,1,12,12.29,12.57,12.86,13.14,13.43,13.71,14,14,0,8,0.52,0.52,"",2
274,"chr233",,,"ba01","J_finger06_r",90,0,0,0.4,90,0,0,0.5,1,12,12.29,12.57,12.86,13.14,13.43,13.71,14,14,0,8,0.52,0.52,"",2
275,"chr035",,,"ba01","J_index02_l",140,30,30,0.4,130,30,30,0.5,1,30,30.14,30.29,30.43,30.57,30.71,30.86,31,32,0,21,0.5,0.5,"",2
276,"chr035",,,"ba01","J_index02_l",90,0,30,0.4,90,0,30,0.5,1,30,30.14,30.29,30.43,30.57,30.71,30.86,31,32,0,21,0.5,0.5,"",2
277,"chr035",,,"ba01","J_index02_l",115,0,30,0.4,110,0,30,0.5,1,30,30.14,30.29,30.43,30.57,30.71,30.86,31,32,0,21,0.5,0.5,"",2
278,"chr775",,,"ba01","J_index02_l",60,90,0,0.3,70,90,0,0.5,1,18,18.29,18.57,18.86,19.14,19.43,19.71,20,-1,0,8,0.52,0.5,"",2
279,"chr775",,,"ba01","J_pinky02_l",60,90,0,0.3,70,90,0,0.5,1,18,18.29,18.57,18.86,19.14,19.43,19.71,20,-1,0,8,0.52,0.5,"",2
280,"chr775",,,"ba01","J_ring02_l",60,90,0,0.3,70,90,0,0.5,1,18,18.29,18.57,18.86,19.14,19.43,19.71,20,-1,0,8,0.52,0.5,"",2
281,"chr040",,,"ba01","J_claw_l",40,100,0,0.8,40,100,0,0.85,1,24,24.29,24.57,24.86,25.14,25.43,25.71,26,27,0,8,0.48,0.48,"",2
282,"chr040",,,"ba01","J_claw_l",40,50,0,0.8,40,53,0,0.85,1,24,24.29,24.57,24.86,25.14,25.43,25.71,26,27,0,8,0.48,0.48,"",2
283,"chr040",,,"ba01","J_claw_l",40,77,0,0.8,40,78,0,0.85,1,24,24.29,24.57,24.86,25.14,25.43,25.71,26,27,0,8,0.48,0.48,"",2
284,"chr101",,,"ba01","J_weapon",0,-90,0,0.2,0,-90,0,1,1,11,11.43,11.86,12.29,12.71,13.14,13.57,14,-1,-1,8,0,0,"",2
285,"chr141",,,"ba01","J_wing_l",0,90,0,0.5,0,90,0,3,0,18,27,-1,-1,-1,-1,-1,-1,-1,4,31,0,0,"",2
286,"chr141",,,"ba01","J_wing_r",0,-90,0,0.5,0,-90,0,3,0,18,27,-1,-1,-1,-1,-1,-1,-1,4,30,0,0,"",2
287,"chr431",,,"ba01","J_weapon",0,-30,0,0.4,0,-10,0,1.3,1,19.1,19.37,19.64,19.91,20.19,20.46,20.73,21,21,0,30,0,0,"",2
288,"chr226",,,"ba01","J_ring03_l",0,90,0,0.2,0,90,0,0.3,1,10,10.29,10.57,10.86,11.14,11.43,11.71,12,12,0,8,0.48,0.5,"",2
289,"chr226",,,"ba01","J_middle03_l",0,90,0,0.2,0,90,0,0.3,1,10,10.29,10.57,10.86,11.14,11.43,11.71,12,12,0,8,0.5,0.48,"",2
290,"chr226",,,"ba01","J_index03_l",0,90,0,0.2,0,90,0,0.3,1,10,10.29,10.57,10.86,11.14,11.43,11.71,12,12,0,8,0.48,0.48,"",2
291,"chr602",,,"ba01","J_weapon_r",0,0,0,0.25,0,0,0,1.1,0,15,21,-1,-1,-1,-1,-1,-1,21,2,8,0,0,"",2
292,"chr747",,,"ba01","J_sword",0,0,0,0.5,0,0,0,1.8,0,10,15,-1,-1,-1,-1,-1,-1,14.999999,2,8,0,0,"",2
293,"chr095",,,"ba01","J_hand_r",22,-90,0,1.8,25,-90,0,2,1,9,9.43,9.86,10.29,10.71,11.14,11.57,12,-1,0,8,0.48,0.5,"",2
294,"chr095",,,"ba01","J_hand_r",22,-108,0,1.8,25,-107,0,2,1,9,9.43,9.86,10.29,10.71,11.14,11.57,12,-1,0,8,0.48,0.5,"",2
295,"chr095",,,"ba01","J_hand_r",22,-72,0,1.8,25,-73,0,2,1,9,9.43,9.86,10.29,10.71,11.14,11.57,12,-1,0,8,0.48,0.5,"",2
296,"chr777",,,"ba01","J_weapon_1",0,101,0,1.7,0,96,0,3,0,0,67,-1,-1,-1,-1,-1,-1,-1,2.5,8,0,0,"",2
297,"chr230",,,"ba01","J_ring02_r_u",0,-90,0,0.45,0,-90,0,0.55,1,10,10.57,11.14,11.71,12.29,12.86,13.43,14,14,0,8,0.5,0.48,"",2
298,"chr230",,,"ba01","J_middle02_r_u",0,-90,0,0.45,0,-90,0,0.55,1,10,10.57,11.14,11.71,12.29,12.86,13.43,14,14,0,8,0.5,0.48,"",2
299,"chr230",,,"ba01","J_index02_r_u",0,-90,0,0.45,0,-90,0,0.55,1,10,10.57,11.14,11.71,12.29,12.86,13.43,14,14,0,8,0.5,0.48,"",2
300,"chr220",,,"ba01","J_sword",0,180,0,0.4,0,175,0,1.65,1,16,16.43,16.86,17.29,17.71,18.14,18.57,19,19,2,30,0,0,"",2
301,"chr047",,,"ba01","J_nail03_r",0,-90,0,0.6,0,-90,0,0.7,1,8,8.29,8.57,8.86,9.14,9.43,9.71,10,10,0,8,0.46,0.5,"",2
302,"chr047",,,"ba01","J_nail01_r",0,-90,0,0.6,0,-90,0,0.7,1,8,8.29,8.57,8.86,9.14,9.43,9.71,10,10,0,8,0.5,0.46,"",2
303,"chr047",,,"ba01","J_nail02_r",0,-90,0,0.6,0,-90,0,0.7,1,8,8.29,8.57,8.86,9.14,9.43,9.71,10,10,0,8,0.48,0.5,"",2
304,"chr135",,,"ba01","J_F_R_foot1",20,0,0,0.55,20,0,0,0.65,1,16,16.43,16.86,17.29,17.71,18.14,18.57,19,19,0,8,0.52,0.46,"",2
305,"chr135",,,"ba01","J_F_R_foot1",20,25,0,0.55,20,20,0,0.65,1,16,16.43,16.86,17.29,17.71,18.14,18.57,19,19,0,8,0.52,0.46,"",2
306,"chr135",,,"ba01","J_F_R_foot1",20,-25,0,0.55,20,-20,0,0.65,1,16,16.43,16.86,17.29,17.71,18.14,18.57,19,19,0,8,0.52,0.46,"",2
307,"chr364",,,"ba01","J_middleR",0,-90,0,0.9,0,-90,0,1.05,1,13,13.29,13.57,13.86,14.14,14.43,14.71,15,16,0,8,0.48,0.5,"",2
