int32 0,int32 1,empty 2,int32 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,int32 13,int32 14,empty 15,int32 16,int32 17,empty 18,int32 19,float 20,int32 21,string2 22,string2 23,int32 24,int32 25,int32 26,string2 27,int32 28,string2 29,string2 30,string2 31,int32 32,string2 33,string2 34,string2 35,string2 36,string2 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43,string2 44,string2 45,string2 46,string2 47,string2 48,empty 49
82020,82,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,82020,"t0201","gim_9001",-1,1,5,"gim_9001",0,"201","10211","",10901,"A2020_dbef_119","A2020_dbef_10000","","","","","","","","","","","","","","",
82030,82,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,82030,"t0201","npc_0500",-1,1,0,"",0,"201","10211","",10901,"A2020_dbef_119","A2020_dbef_10000","","","","","","","","","","","","","","",
82040,82,,40,15,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,82040,"d0505","vulcanus",-1,1,0,"",0,"10501","155","",1050101,"A2020_dbef_119","A2020_dbef_10000","","","","","","","","","","","","","","",
87010,87,,10,1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,87010,"t3003","npc_0002",-1,1,0,"",0,"10206","155","10212",-1,"Common","","","","","","","","","","","","","","","",
87020,87,,20,4,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,87020,"t3003","col_t3001_start_02_0",-1,1,0,"",0,"10206","155","10212",-1,"Common","","","","","","","","","","","","","","","",
87030,87,,30,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,87020,"d0210","",-1,1,0,"",0,"10206","155","10212",-1,"Common","","","","","","","","","","","","","","","",
87040,87,,40,10,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,87030,"t3003","npc_0002",-1,1,0,"",0,"10206","155","10212",-1,"Common","","","","","","","","","","","","","","","",
88010,88,,10,1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,88010,"t3003","npc_0003",-1,1,0,"",0,"10206","155","10212",-1,"Common","","","","","","","","","","","","","","","",
88020,88,,20,10,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,88020,"d0506","s100_089_001",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
88030,88,,30,13,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,88030,"d0506","npc_0001",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
88040,88,,40,14,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,88030,"d0506","s100_089_001",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
88050,88,,50,15,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,88040,"d0506","s100_089_004",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
88060,88,,60,20,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,88040,"d0506","npc_0001",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
88070,88,,70,25,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,88040,"d0506","s100_089_004",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
88080,88,,80,30,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,88050,"t3003","npc_0003",-1,1,0,"",0,"10206","155","10212",-1,"Common","","","","","","","","","","","","","","","",
89010,89,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,89010,"d0506","s100_089_001",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
89020,89,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,89020,"d0506","npc_0001",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
89030,89,,30,10,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,89030,"d0506","s100_089_003",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
90010,90,,10,1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,90010,"t0203","change_0001",-1,1,0,"",0,"250","","",10901,"A2020_dbef_110","","A2020_dbef_119","","","","","","","","","","","","","",
90020,90,,20,3,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,90020,"t0203","change_0001",-1,1,0,"",0,"250","","",10901,"A2020_dbef_110","","A2020_dbef_119","","","","","","","","","","","","","",
90030,90,,30,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,90020,"t0203","change_0001",-1,1,0,"",0,"250","","",10901,"A2020_dbef_110","","A2020_dbef_119","","","","","","","","","","","","","",
90040,90,,40,10,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,90030,"h0201","sub110_90_001",-1,1,0,"",0,"250","","",10901,"A2020_dbef_110","","A2020_dbef_119","","","","","","","","","","","","","",
91010,91,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,91010,"d0201","s110_091_003",-1,1,0,"",0,"10201","","",1020101,"A2020_dbef_180","A2020_dbef_199","","","","","","","","","","","","","","",
91020,91,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,91020,"d0201","s110_091_003",-1,1,0,"",0,"10201","","",1020101,"A2020_dbef_180","A2020_dbef_199","","","","","","","","","","","","","","",
91030,91,,30,10,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,91030,"d0301","s110_091_003",-1,1,0,"",0,"10302","","",1030201,"A2020_dbef_180","A2020_dbef_199","","","","","","","","","","","","","","",
92010,92,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,92010,"d0210","s110_092_001",-1,1,0,"",0,"10212","155","",1020202,"A2028_daft_419","","","","","","","","","","","","","","","",
92020,92,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,92020,"t0106","s110_092_002",-1,1,0,"",0,"102","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
92030,92,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,92030,"t0104","s110_092_001",-1,1,0,"",0,"101","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
92040,92,,40,15,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,92040,"t0104","s110_092_002",-1,1,0,"",0,"101","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
92050,92,,50,20,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,92050,"d0702","npc_0002",-1,1,0,"",0,"10702","155","",1070102,"A2028_daft_419","","","","","","","","","","","","","","","",
93010,93,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,93010,"d0702","s110_093_cra_01",-1,1,0,"",0,"10701","155","",1070102,"A2028_daft_419","","","","","","","","","","","","","","","",
93020,93,,20,5,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,93020,"d0701","s110_093_002",-1,1,0,"",0,"10701","155","",1070102,"A2028_daft_419","","","","","","","","","","","","","","","",
94010,94,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,94010,"d0702","s110_094_005",-1,1,0,"",0,"10701","155","",1070102,"A2028_daft_419","","","","","","","","","","","","","","","",
94020,94,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,94020,"d0702","s110_094_001",-1,1,0,"",0,"10701","155","",1070102,"A2028_daft_419","","","","","","","","","","","","","","","",
94030,94,,30,10,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,94030,"d0702","s110_094_005",-1,1,0,"",0,"10701","155","",1070102,"A2028_daft_419","","","","","","","","","","","","","","","",
98010,98,,10,1,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,98010,"d0210","agumon_knight_01",-1,1,0,"",0,"10212","155","",1020202,"A2028_daft_419","","","","","","","","","","","","","","","",
98020,98,,20,5,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,98020,"d0210","s110_098_001",-1,1,0,"",0,"10212","155","",1020202,"A2028_daft_419","","","","","","","","","","","","","","","",
99010,99,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,99010,"d0501","s110_099_001",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","A2028_daft_419","","","","","","","","","","","","","","",
99020,99,,20,5,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,99020,"d0501","evt_0100",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
100010,100,,10,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,100010,"d0406","s110_100_001",-1,1,0,"",0,"10412","155","",1040402,"A2028_daft_419","","","","","","","","","","","","","","","",
100020,100,,20,5,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,100010,"t0104","",-1,1,0,"",0,"152","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
101010,101,,10,1,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,101010,"d0501","s110_101_002",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
102010,102,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,102010,"d0304","s110_102_001",-1,1,0,"",0,"10312","155","",1030202,"A2028_daft_419","","","","","","","","","","","","","","","",
102020,102,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,102020,"d0305","npc_0001",-1,1,0,"",0,"10312","155","",1030202,"A2028_daft_419","","","","","","","","","","","","","","","",
102030,102,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,102030,"d0305","npc_0001",-1,1,0,"",0,"10312","155","",1030202,"A2028_daft_419","","","","","","","","","","","","","","","",
102040,102,,40,15,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,102040,"d0501","s110_102_001",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
103010,103,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,103010,"t0402","hiroko_sub",-1,1,0,"",0,"401","10212","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
103020,103,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,103020,"t0103","s110_103_001",-1,1,0,"",0,"103","10212","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
103030,103,,30,10,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,103030,"t0103","s110_103_001",-1,1,0,"",0,"103","10212","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
104010,104,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,104010,"t0201","s110_104_001",-1,1,0,"",0,"201","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
104020,104,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,104020,"t0203","s110_104_003",-1,1,0,"",0,"201","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
104030,104,,30,10,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,104030,"t0203","s110_104_001",-1,1,0,"",0,"201","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
105010,105,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,105010,"d0210","RoyalKights_DYNASMON",-1,1,0,"",0,"10212","155","",1020202,"A2028_daft_419","","","","","","","","","","","","","","","",
105020,105,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,105020,"t0203","s110_105_001",-1,1,0,"",0,"201","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
105030,105,,30,10,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,105030,"","",-1,1,0,"",0,"201","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
106010,106,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,106010,"d0210","RoyalKights_LOADKNIGHTMON",-1,1,0,"",0,"10212","155","",1020202,"A2028_daft_419","","","","","","","","","","","","","","","",
106020,106,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,106020,"d0506","npc_0001",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
106030,106,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,106030,"d0210","RoyalKights_LOADKNIGHTMON",-1,1,0,"",0,"10212","155","",1020202,"A2028_daft_419","","","","","","","","","","","","","","","",
106040,106,,40,15,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,106040,"d0506","s110_106_001",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
106050,106,,50,20,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,106050,"d0506","npc_0001",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
108010,108,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,108010,"d0210","s110_108_002",-1,1,0,"",0,"10212","155","",1020202,"A2028_daft_419","","","","","","","","","","","","","","","",
108020,108,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,108010,"d0308","s110_108_001",-1,1,0,"",0,"10212","155","",1020202,"A2028_daft_419","","","","","","","","","","","","","","","",
108030,108,,30,10,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,108010,"d0302","s110_108_001",-1,1,0,"",0,"10212","155","",1020202,"A2028_daft_419","","","","","","","","","","","","","","","",
109010,109,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,109010,"d0403","s110_109_001",-1,1,0,"",0,"10412","155","",1040402,"A2028_daft_419","","","","","","","","","","","","","","","",
109020,109,,20,5,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,109020,"d0403","s110_109_005",-1,1,0,"",0,"10412","155","",1040402,"A2028_daft_419","","","","","","","","","","","","","","","",
111010,111,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,111010,"d0506","s110_111_003",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
111020,111,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,111020,"t0203","s110_112_001",-1,1,0,"",0,"250","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
111030,111,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,111030,"d0506","s110_111_004",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
111040,111,,40,15,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,111040,"d0506","npc_0001",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
111050,111,,50,20,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,111010,"d0506","s110_111_001",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
112010,112,,10,1,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,112010,"t0203","s110_112_001",-1,1,0,"",0,"250","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
113010,113,,10,1,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,113010,"t0203","s110_113_001",-1,1,0,"",0,"250","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
152010,152,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,152010,"d0202","ride_pegasmon",-1,1,0,"",0,"10201","","",1020101,"A2020_dbef_150","A2020_dbef_199","","","","","","","","","","","","","","",
152020,152,,20,5,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,152020,"d0505","vulcanus",-1,1,0,"",0,"10501","","",1020101,"A2020_dbef_150","A2020_dbef_199","","","","","","","","","","","","","","",
152030,152,,30,6,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,152020,"d0202","ride_pegasmon",-1,1,0,"",0,"10201","","",1020101,"A2020_dbef_150","A2020_dbef_199","","","","","","","","","","","","","","",
156010,156,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,156010,"t0402","hiroko_sub",-1,1,0,"",0,"401","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
156020,156,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,156020,"t0105","sub010_156_001",-1,1,0,"",0,"401","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
156030,156,,30,10,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,156030,"t0107","s010_156_start",-1,1,0,"",0,"401","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
159010,159,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,159010,"t0109","s010_159_001",-1,1,0,"",0,"155","10211","",10902,"A2028_daft_330","A2028_daft_440","A2028_daft_419","","","","","","","","","","","","","",
159020,159,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,159020,"t0109","s010_159_001",-1,1,0,"",0,"155","10211","",10902,"A2028_daft_330","A2028_daft_440","A2028_daft_419","","","","","","","","","","","","","",
159030,159,,30,10,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,159030,"d0506","s010_159_dura_01",-1,1,0,"",0,"10521","401","",1050102,"A2028_daft_330","A2028_daft_440","A2028_daft_419","","","","","","","","","","","","","",
160010,160,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,160010,"d0506","npc_0013",-1,1,0,"",0,"10521","401","",1050102,"A2028_daft_419","","A2028_daft_330","A2028_daft_440","","","","","","","","","","","","",
160020,160,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,160020,"t0121","s040_160_001",-1,1,0,"",0,"103","10211","",10902,"A2028_daft_419","","A2028_daft_330","A2028_daft_440","","","","","","","","","","","","",
160030,160,,30,10,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,160030,"t0104","s040_160_001",-1,1,0,"",0,"102","10211","",10902,"A2028_daft_419","","A2028_daft_330","A2028_daft_440","","","","","","","","","","","","",
162010,162,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,162010,"t0201","s900_162_001",-1,1,0,"",0,"201","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
162020,162,,20,5,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,162020,"t0201","s900_162_001",-1,1,0,"",0,"201","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
162030,162,,30,20,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,162030,"t0401","s900_162_trueking",-1,1,0,"",0,"401","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
167010,167,,10,1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,167010,"d0215","s070_167_minerva",-1,1,0,"",0,"10202","155","",1020202,"A2028_daft_419","","","","","","","","","","","","","","","",
167020,167,,20,10,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,167060,"d0501","s070_167_minerva_01",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
167030,167,,30,20,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,167070,"d0501","s070_167_minerva_01",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_419","","","","","","","","","","","","","","","",
169010,169,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,169010,"t0402","hiroko_sub",-1,1,0,"",0,"401","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
169020,169,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,169020,"t0109","evt_5001",-1,1,0,"",0,"155","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
169030,169,,30,10,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,169030,"t0109","gate_s910_169",-1,1,0,"",0,"155","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
170010,170,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,170010,"t0402","hiroko_sub",-1,1,0,"",0,"401","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
170020,170,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,170020,"t0402","hiroko_sub",-1,1,0,"",0,"401","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
170030,170,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,170030,"t0402","hiroko_sub",-1,1,0,"",0,"401","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
170040,170,,40,15,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,170040,"t3001","farm_0001",-1,1,0,"",0,"401","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
170050,170,,50,20,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,170050,"t0402","hiroko_sub",-1,1,0,"",0,"401","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
171010,171,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,171010,"t0402","hiroko_sub",-1,1,0,"",0,"401","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
171020,171,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,171020,"t0302","s910_171_001",-1,1,0,"",0,"302","","",10901,"A2020_dbef_119","","","","","","","","","","","","","","","",
171030,171,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,171030,"t0104","s910_171_001",-1,1,0,"",0,"101","","",10901,"A2020_dbef_119","","","","","","","","","","","","","","","",
171040,171,,40,15,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,171040,"t0109","evt_2001",-1,1,0,"",0,"155","","",10901,"A2020_dbef_119","","","","","","","","","","","","","","","",
171050,171,,50,20,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,171050,"t0108","s910_171_001",-1,1,0,"",0,"153","10211","",10902,"A2028_daft_419","","","","","","","","","","","","","","","",
172010,172,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,172010,"d0303","s020_172_001",-1,1,0,"",0,"10302","","",1030201,"A2020_dbef_180","A2020_dbef_199","","","","","","","","","","","","","","",
172020,172,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,172020,"d0303","evt_9905",-1,1,0,"",0,"10302","","",1030201,"A2020_dbef_180","A2020_dbef_199","","","","","","","","","","","","","","",
172030,172,,30,10,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,172030,"d0303","s020_172_003",-1,1,0,"",0,"10302","","",1030201,"A2020_dbef_180","A2020_dbef_199","","","","","","","","","","","","","","",
173010,173,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,173010,"d0204","s020_173_001",-1,1,0,"",0,"10211","401","",1020202,"A2028_daft_360","A2028_daft_440","A2028_daft_419","","","","","","","","","","","","","",
173020,173,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,173020,"d0301","",-1,1,35,"gim_9000",0,"10312","401","",1030202,"A2028_daft_360","A2028_daft_440","A2028_daft_419","","","","","","","","","","","","","",
173030,173,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,173030,"d0204","s020_173_001",-1,1,0,"",0,"10211","401","",1020202,"A2028_daft_360","A2028_daft_440","A2028_daft_419","","","","","","","","","","","","","",
173040,173,,40,15,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,173040,"d0201","s020_173_001",-1,1,0,"",0,"10211","401","",1020202,"A2028_daft_360","A2028_daft_440","A2028_daft_419","","","","","","","","","","","","","",
173050,173,,50,20,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,173050,"d0302","s020_173_001",-1,1,0,"",0,"10312","401","",1030202,"A2028_daft_360","A2028_daft_440","A2028_daft_419","","","","","","","","","","","","","",
176010,176,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,176010,"d0204","s050_176_001",-1,1,0,"",0,"10211","155","",1020202,"A2028_daft_390","A2028_daft_440","A2028_daft_419","","","","","","","","","","","","","",
176020,176,,20,5,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,176020,"d0506","npc_0001",-1,1,0,"",0,"10521","155","",1050102,"A2028_daft_390","A2028_daft_440","A2028_daft_419","","","","","","","","","","","","","",
178010,178,,10,1,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,178010,"t3001","change_0002",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
179010,179,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,179010,"t0106","s010_179_001",-1,1,0,"",0,"10211","10201","102",10902,"A2028_daft_330","A2028_daft_450","A2028_daft_419","","","","","","","","","","","","","",
