int 0,int 1,int 2,int 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,string2 17,string2 18,string2 19,string2 20
111000,10000,1100,0,6033,6032,"gim_9001","col_t0104_start_03_0
col_t0104_start_04_0","col_t0102_start_02_0","col_t0101_start_03_0","col_d1103_start_00_0","run_t0102_start_05_0","","gim_0002","change_0002","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","d1100","last"
111001,10000,1100,1,6032,6033,"gim_9001","col_t0104_start_03_0
col_t0104_start_04_0","col_t0102_start_02_0","col_t0101_start_03_0","col_t0105_start_03_0","run_t0102_start_05_0","","gim_0002","change_0002","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","d1100","last"
111002,10000,1100,2,2003,2030,"gim_9001","col_t0104_start_03_0
col_t0104_start_04_0","col_t0102_start_02_0","col_t0101_start_03_0","col_d1103_start_00_0","run_t0102_start_05_0","","gim_0002","change_0002","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0105","last"
111003,10000,1100,3,3260,3267,"longrun_t0104_start_06_0","col_t0104_start_03_0
col_t0104_start_04_0","col_t0102_start_02_0","col_t0105_start_00_0
col_t0105_start_01_0","col_t0105_start_03_0","run_t0102_start_05_0","","gim_0002","change_0002","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
111004,10000,1100,4,3272,3273,"longrun_t0104_start_06_0","col_t0104_start_03_0
col_t0104_start_04_0","col_t0102_start_02_0","col_t0105_start_00_0
col_t0105_start_01_0","col_d1103_start_00_0","run_t0102_start_05_0","","gim_0002","change_0002","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","d1100","last"
111005,10000,1100,5,3273,3277,"longrun_t0104_start_06_0","col_t0104_start_03_0
col_t0104_start_04_0","col_t0102_start_02_0","col_t0105_start_00_0
col_t0105_start_01_0","col_t0105_start_03_0","run_t0102_start_05_0","","gim_0002","change_0002","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","d1100","last"
111006,10000,1100,6,3277,3279,"longrun_t0104_start_06_0","col_t0104_start_03_0
col_t0104_start_04_0","col_t0102_start_02_0","col_t0105_start_00_0
col_t0105_start_01_0","col_d1103_start_00_0","run_t0102_start_05_0","","gim_0002","change_0002","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","d1100","last"
111007,10000,1100,7,-1,-1,"gim_9001","col_t0104_start_03_0
col_t0104_start_04_0","col_t0102_start_02_0","col_t0101_start_03_0","col_d1103_start_00_0","run_t0102_start_05_0","","gim_0002","change_0002","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","d1100","last"
112000,10000,1200,0,-1,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
113000,10000,1300,0,-1,-1,"gim_0001
gim_0002","gim_0002
gim_0003","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","","gim_0002","col_t0401_start_10_0","gim_9000","col_t0110_start_01_0","col_t0103_start_20_0","","t0109","last"
114000,10000,1400,0,-1,-1,"","","","","","","","","","","","","","t0109","last"
202000,20000,200,0,27102,27105,"","","","","","","","","gate_s910_169","","","","","t0109","last"
202001,20000,200,1,-1,-1,"","","","","","","","","","","","","","t0109","last"
203000,20000,300,0,1930,1960,"","","","","npc_0001","","","","","","","","","t0105","last"
