string2 0,string2 1,string2 2,string2 3,string2 4,string2 5,string2 6,string2 7,string2 8,string2 9,string2 10
"chr675","","chr675_LOD_2","","","","","","","",""
"chr676","","chr676_LOD_2","","","","","","","",""
"chr677","","chr677_LOD_2","","","","","","","",""
"chr678","","chr678_LOD_2","","","","","","","",""
"chr679","","chr679_LOD_2","","","","","","","",""
"chr680","","chr680_LOD_2","","","","","","","",""
"chr681","","chr681_LOD_2","","","","","","","",""
"chr682","","chr682_LOD_2","","","","","","","",""
"chr683","","chr683_LOD_2","","","","","","","",""
"chr684","","","","","","","","","",""
"chr685","","","","","","","","","",""
"chr686","","","","","","","","","",""
"chr687","","chr687_LOD_2","","","","","","","",""
"chr688","","chr688_LOD_2","","","","","","","",""
"chr694","","","","","","","","","",""
"chr695","","","","","","","","","",""
"chr696","","","","","","","","","",""
"chr697","","chr697_LOD_2","","","","","","","",""
"chr698","","chr698_LOD_2","","","","","","","",""
"chr699","","chr699_LOD_2","","","","","","","",""
"chr700","","chr700_LOD_2","","","","","","","",""
"chr701","","chr701_LOD_2","","","","","","","",""
"chr702","","chr702_LOD_2","","","","","","","",""
"chr703","","chr703_LOD_2","","","","","","","",""
"chr704","","chr704_LOD_2","","","","","","","",""
"chr705","","chr705_LOD_2","","","","","","","",""
"chr706","","chr706_LOD_2","","","","","","","",""
"chr707","","chr707_LOD_2","","","","","","","",""
"chr708","","chr708_LOD_2","","","","","","","",""
"chr709","","chr709_LOD_2","","","","","","","",""
"chr710","","chr710_LOD_2","","","","","","","",""
"chr711","","chr711_LOD_2","","","","","","","",""
"chr716","","chr716_LOD_2","","","","","","","",""
"chr717","","","","","","","","","",""
"chr718","","chr718_LOD_2","","","","","","","",""
"chr719","","chr719_LOD_2","","","","","","","",""
"chr720","","chr720_LOD_2","","","","","","","",""
"chr721","","chr721_LOD_2","","","","","","","",""
"chr722","","chr722_LOD_2","","","","","","","",""
"chr723","","chr723_LOD_2","","","","","","","",""
"chr724","","chr724_LOD_2","","","","","","","",""
"chr725","","chr725_LOD_2","","","","","","","",""
"chr726","","chr726_LOD_2","","","","","","","",""
"chr727","","chr727_LOD_2","","","","","","","",""
"chr728","","chr728_LOD_2","","","","","","","",""
"chr729","","chr729_LOD_2","","","","","","","",""
"chr730","","chr730_LOD_2","","","","","","","",""
"chr731","","chr731_LOD_2","","","","","","","",""
"chr732","","chr732_LOD_2","","","","","","","",""
"chr733","","chr733_LOD_2","","","","","","","",""
"chr734","","chr734_LOD_2","","","","","","","",""
"chr735","","chr735_LOD_2","","","","","","","",""
"chr736","","","","","","","","","",""
"chr737","","chr737_LOD_2","","","","","","","",""
"chr738","","chr738_LOD_2","","","","","","","",""
"chr739","","chr739_LOD_2","","","","","","","",""
"chr740","","chr740_LOD_2","","","","","","","",""
"chr741","","chr741_LOD_2","","","","","","","",""
"chr742","","chr742_LOD_2","","","","","","","",""
"chr743","","chr743_LOD_2","","","","","","","",""
"chr744","","chr744_LOD_2","","","","","","","",""
"chr745","","chr745_LOD_2","","","","","","","",""
"chr746","","","","","","","","","",""
"chr747","","chr747_LOD_2","","","","","","","",""
"chr748","","chr748_LOD_2","","","","","","","",""
"chr749","","chr749_LOD_2","","","","","","","",""
"chr750","","chr750_LOD_2","","","","","","","",""
"chr751","","chr751_LOD_2","","","","","","","",""
"chr752","","chr752_LOD_2","","","","","","","",""
"chr753","","chr753_LOD_2","","","","","","","",""
"chr754","","chr754_LOD_2","","","","","","","",""
"chr755","","chr755_LOD_2","","","","","","","",""
"chr756","","chr756_LOD_2","","","","","","","",""
"chr757","","chr757_LOD_2","","","","","","","",""
"chr758","","chr758_LOD_2","","","","","","","",""
"chr759","","chr759_LOD_2","","","","","","","",""
"chr760","","chr760_LOD_2","","","","","","","",""
"chr761","","","","","","","","","",""
"chr762","","","","","","","","","",""
"chr763","","","","","","","","","",""
"chr764","","","","","","","","","",""
"chr765","","","","","","","","","",""
"chr766","","chr766_LOD_2","","","","","","","",""
"chr767","","chr767_LOD_2","","","","","","","",""
"chr768","","","","","","","","","",""
"chr769","","","","","","","","","",""
"chr770","","chr770_LOD_2","","","","","","","",""
"chr771","","chr771_LOD_2","","","","","","","",""
"chr772","","chr772_LOD_2","","","","","","","",""
"chr773","","chr773_LOD_2","","","","","","","",""
"chr774","","chr774_LOD_2","","","","","","","",""
"chr775","","chr775_LOD_2","","","","","","","",""
"chr776","","chr776_LOD_2","","","","","","","",""
"chr777","","chr777_LOD_2","","","","","","","",""
"chr778","","chr778_LOD_2","","","","","","","",""
"chr779","","chr779_LOD_2","","","","","","","",""
"chr780","","chr780_LOD_2","","","","","","","",""
"chr781","","chr781_LOD_2","","","","","","","",""
"chr782","","chr782_LOD_2","","","","","","","",""
"chr783","","chr783_LOD_2","","","","","","","",""
"chr784","","chr784_LOD_2","","","","","","","",""
"chr785","","chr785_LOD_2","","","","","","","",""
"chr786","","chr786_LOD_2","","","","","","","",""
"chr787","","chr787_LOD_2","","","","","","","",""
"chr788","","chr788_LOD_2","","","","","","","",""
"chr789","","chr789_LOD_2","","","","","","","",""
"chr790","","chr790_LOD_2","","","","","","","",""
"chr791","","chr791_LOD_2","","","","","","","",""
"chr792","","chr792_LOD_2","","","","","","","",""
"chr793","","chr793_LOD_2","","","","","","","",""
"chr794","","chr794_LOD_2","","","","","","","",""
"chr795","","chr795_LOD_2","","","","","","","",""
"chr796","","chr796_LOD_2","","","","","","","",""
"chr797","","chr797_LOD_2","","","","","","","",""
"chr798","","chr798_LOD_2","","","","","","","",""
"chr799","","chr799_LOD_2","","","","","","","",""
"chr800","","","","","","","","","",""
"chr801","","","","","","","","","",""
"chr802","","","","","","","","","",""
"chr803","","","","","","","","","",""
"chr804","","","","","","","","","",""
"chr805","","chr805_LOD_2","","","","","","","",""
"chr807a","","","","","","","","","",""
"chr809","","","","","","","","","",""
"chr810","","","","","","","","","",""
"chr811","","","","","","","","","",""
"chr812","","chr812_LOD_2","","","","","","","",""
"chr813","","chr813_LOD_2","","","","","","","",""
"chr814","","chr814_LOD_2","","","","","","","",""
"chr815","","chr815_LOD_2","","","","","","","",""
"chr816","","chr816_LOD_2","","","","","","","",""
"chr817","","chr817_LOD_2","","","","","","","",""
"chr818","","chr818_LOD_2","","","","","","","",""
"chr819","","chr819_LOD_2","","","","","","","",""
"chr820","","chr820_LOD_2","","","","","","","",""
"chr821","","chr821_LOD_2","","","","","","","",""
"chr822","","chr822_LOD_2","","","","","","","",""
"chr823","","","","","","","","","",""
"chr824","","chr824_LOD_2","","","","","","","",""
"chr825","","","","","","","","","",""
"chr826","","","","","","","","","",""
"chr827","","chr827_LOD_2","","","","","","","",""
"chr828","","","","","","","","","",""
"chr829","","chr829_LOD_2","","","","","","","",""
"chr830","","","","","","","","","",""
"chr831","","chr831_LOD_2","","","","","","","",""
"chr832","","","","","","","","","",""
"chr833","","","","","","","","","",""
"chr834","","","","","","","","","",""
"chr835","","","","","","","","","",""
"chr836","","","","","","","","","",""
"chr837","","","","","","","","","",""
"chr838","","chr838_LOD_2","","","","","","","",""
"chr839","","","","","","","","","",""
"chr840","","","","","","","","","",""
"chr841","","","","","","","","","",""
"chr842","","","","","","","","","",""
"chr843","","chr843_LOD_2","","","","","","","",""
"chr844","","","","","","","","","",""
"chr845","","chr845_LOD_2","","","","","","","",""
"chr846","","","","","","","","","",""
"chr864","","","","","","","","","",""
"chr865","","","","","","","","","",""
"chr866","","","","","","","","","",""
"chr874","","","","","","","","","",""
"chr875","","","","","","","","","",""
"chr876","","","","","","","","","",""
"chr877","","","","","","","","","",""
"chr878","","chr878_LOD_2","","","","","","","",""
"chr879","","chr879_LOD_2","","","","","","","",""
"chr880","","chr880_LOD_2","","","","","","","",""
"chr881","","chr881_LOD_2","","","","","","","",""
"chr882","","chr882_LOD_2","","","","","","","",""
"chr883","","chr883_LOD_2","","","","","","","",""
"chr884","","chr884_LOD_2","","","","","","","",""
"chr885","","chr885_LOD_2","","","","","","","",""
"chr886","","chr886_LOD_2","","","","","","","",""
"chr887","","chr887_LOD_2","","","","","","","",""
"chr888","","chr888_LOD_2","","","","","","","",""
"chr889","","chr889_LOD_2","","","","","","","",""
"chr890","","chr890_LOD_2","","","","","","","",""
"chr891","","chr891_LOD_2","","","","","","","",""
"chr892","","chr892_LOD_2","","","","","","","",""
"chr893","","chr893_LOD_2","","","","","","","",""
"chr894","","chr894_LOD_2","","","","","","","",""
"chr895","","chr895_LOD_2","","","","","","","",""
"chr896","","chr896_LOD_2","","","","","","","",""
"chr897","","chr897_LOD_2","","","","","","","",""
"chr898","","chr898_LOD_2","","","","","","","",""
"chr899","","chr899_LOD_2","","","","","","","",""
"chr900","","","","","","","","","",""
"chr901","","","","","","","","","",""
"chr902","","","","","","","","","",""
"chr903","","","","","","","","","",""
"chr904","","","","","","","","","",""
"chr905","","","","","","","","","",""
"chr906","","","","","","","","","",""
"chr907","","chr907_LOD_2","","","","","","","",""
"chr908","","chr908_LOD_2","","","","","","","",""
"chr909","","chr909_LOD_2","","","","","","","",""
"chr911","","","","","","","","","",""
"chr912","","","","","","","","","",""
"chr913","","","","","","","","","",""
"chr914","","","","","","","","","",""
"chr915","","chr915_LOD_2","","","","","","","",""
"chr916","","chr916_LOD_2","","","","","","","",""
"chr917","","chr917_LOD_2","","","","","","","",""
"chr918","","chr918_LOD_2","","","","","","","",""
"chr919","","chr919_LOD_2","","","","","","","",""
"chr920","","chr920_LOD_2","","","","","","","",""
"chr921","","","","","","","","","",""
"chr922","","chr922_LOD_2","","","","","","","",""
"chr923","","chr923_LOD_2","","","","","","","",""
"chr924","","chr924_LOD_2","","","","","","","",""
"chr925","","chr925_LOD_2","","","","","","","",""
"chr926","","chr926_LOD_2","","","","","","","",""
"chr927","","chr927_LOD_2","","","","","","","",""
"chr928","","chr928_LOD_2","","","","","","","",""
"chr929","","chr929_LOD_2","","","","","","","",""
"chr930","","","","","","","","","",""
"chr931","","chr931_LOD_2","","","","","","","",""
"chr932","","chr932_LOD_2","","","","","","","",""
"chr933","","chr933_LOD_2","","","","","","","",""
"chr934","","chr934_LOD_2","","","","","","","",""
"chr935","","","","","","","","","",""
"chr936","","chr936_LOD_2","","","","","","","",""
"chr937","","","","","","","","","",""
"chr938","","","","","","","","","",""
"chr939","","","","","","","","","",""
"chr940","","chr940_LOD_2","","","","","","","",""
"chr941","","","","","","","","","",""
"chr942","","","","","","","","","",""
"chr943","","","","","","","","","",""
"chr944","","","","","","","","","",""
"chr945","","","","","","","","","",""
"chr946","","","","","","","","","",""
"chr947","","chr947_LOD_2","","","","","","","",""
"chr948","","chr948_LOD_2","","","","","","","",""
"chr949","","","","","","","","","",""
"chr950","","","","","","","","","",""
"chr999","","","","","","","","","",""
"chrh183a","","chrh183a_LOD_2","","","","","","","",""
"chrh184a","","chrh184a_LOD_2","","","","","","","",""
"chrh185a","","chrh185a_LOD_2","","","","","","","",""
"chrh186a","","chrh186a_LOD_2","","","","","","","",""
"chrh187a","","chrh187a_LOD_2","","","","","","","",""
"chrh188a","","chrh188a_LOD_2","","","","","","","",""
"chr183b","","","","","","","","","",""
"pc001a","","","","","","","","","",""
"pch001a","","","","","","","","","",""
"pc002a","","","","","","","","","",""
"pch002a","","","","","","","","","",""
"pc001e","","","","","","","","","",""
"pc002e","","","","","","","","","",""
"pc001i","","","","","","","","","",""
"pc002i","","","","","","","","","",""
"npc001i","","","","","","","","","",""
"chr183i","","","","","","","","","",""
"pc001n","","","","","","","","","",""
"pc002n","","","","","","","","","",""
"npc001n","","","","","","","","","",""
"chr183n","","","","","","","","","",""
"pc001q","","","","","","","","","",""
"pc002q","","","","","","","","","",""
"npc001q","","","","","","","","","",""
"chr183q","","","","","","","","","",""
"pc001t","","","","","","","","","",""
"pc002t","","","","","","","","","",""
"npc001t","","","","","","","","","",""
"chr183t","","","","","","","","","",""
"npc001a","","","","","","","","","",""
"npch001a","","","","","","","","","",""
"npc002a","","npc002a_LOD_2","","","","","","","",""
"npch002a","","npch002a_LOD_2","","","","","","","",""
"npc003a","","npc003a_LOD_2","","","","","","","",""
"npch003a","","npch003a_LOD_2","","","","","","","",""
"npc004a","","npc004a_LOD_2","","","","","","","",""
"npch004a","","npch004a_LOD_2","","","","","","","",""
"npc005a","","npc005a_LOD_2","","","","","","","",""
"npch005a","","npch005a_LOD_2","","","","","","","",""
"npc006a","","npc006a_LOD_2","","","","","","","",""
"npch006a","","npch006a_LOD_2","","","","","","","",""
"npc007a","","npc007a_LOD_2","","","","","","","",""
"npch007a","","npch007a_LOD_2","","","","","","","",""
"npc009a","","","","","","","","","",""
"npch009a","","","","","","","","","",""
"npc010a","","","","","","","","","",""
"npch010a","","","","","","","","","",""
"npc011a","","","","","","","","","",""
"npch011a","","","","","","","","","",""
"npc012a","","","","","","","","","",""
"npch012a","","","","","","","","","",""
"npc013a","","","","","","","","","",""
"npch013a","","","","","","","","","",""
"npc014a","","","","","","","","","",""
"npch014a","","","","","","","","","",""
"npc015a","","","","","","","","","",""
"npch015a","","","","","","","","","",""
"npc016a","","","","","","","","","",""
"npch016a","","","","","","","","","",""
"npc017a","","npc017a_LOD_2","","","","","","","",""
"npch017a","","npch017a_LOD_2","","","","","","","",""
"npc052a","","npc052a_LOD_2","","","","","","","",""
"npch052a","","npch052a_LOD_2","","","","","","","",""
"npc053a","","npc053a_LOD_2","","","","","","","",""
"npch053a","","npch053a_LOD_2","","","","","","","",""
"npc056a","","npc056a_LOD_2","","","","","","","",""
"npch056a","","npch056a_LOD_2","","","","","","","",""
"npc057a","","npc057a_LOD_2","","","","","","","",""
"npch057a","","npch057a_LOD_2","","","","","","","",""
"npc101a","","npc101a_LOD_2","","","","","","","",""
"npch101a","","npch101a_LOD_2","","","","","","","",""
"npc101b","","npc101b_LOD_2","","","","","","","",""
"npch101b","","npch101b_LOD_2","","","","","","","",""
"npc101c","","npc101c_LOD_2","","","","","","","",""
"npch101c","","npch101c_LOD_2","","","","","","","",""
"npc101d","","npc101d_LOD_2","","","","","","","",""
"npch101d","","npch101d_LOD_2","","","","","","","",""
"npc101e","","npc101e_LOD_2","","","","","","","",""
"npc102a","","npc102a_LOD_2","","","","","","","",""
"npch102a","","npch102a_LOD_2","","","","","","","",""
"npc102b","","npc102b_LOD_2","","","","","","","",""
"npch102b","","npch102b_LOD_2","","","","","","","",""
"npc102c","","npc102c_LOD_2","","","","","","","",""
"npch102c","","npch102c_LOD_2","","","","","","","",""
"npc102d","","npc102d_LOD_2","","","","","","","",""
"npc102e","","","","","","","","","",""
"npc102f","","npc102f_LOD_2","","","","","","","",""
"npc104a","","npc104a_LOD_2","","","","","","","",""
"npch104a","","npch104a_LOD_2","","","","","","","",""
"npc104g","","npc104g_LOD_2","","","","","","","",""
"npc105a","","npc105a_LOD_2","","","","","","","",""
"npch105a","","npch105a_LOD_2","","","","","","","",""
"npc105b","","npc105b_LOD_2","","","","","","","",""
"npch105b","","npch105b_LOD_2","","","","","","","",""
"npch105c","","npch105c_LOD_2","","","","","","","",""
"npch105d","","npch105d_LOD_2","","","","","","","",""
"npc105e","","npc105e_LOD_2","","","","","","","",""
"npch105e","","npch105e_LOD_2","","","","","","","",""
"npc105f","","npc105f_LOD_2","","","","","","","",""
"npch105f","","npch105f_LOD_2","","","","","","","",""
"npc105g","","","","","","","","","",""
"npch105g","","","","","","","","","",""
"npc106a","","npc106a_LOD_2","","","","","","","",""
"npch106a","","npch106a_LOD_2","","","","","","","",""
"npc106f","","npc106f_LOD_2","","","","","","","",""
"npc107a","","npc107a_LOD_2","","","","","","","",""
"npch107a","","npch107a_LOD_2","","","","","","","",""
"npc108a","","","","","","","","","",""
"npch108a","","","","","","","","","",""
"npc109a","","npc109a_LOD_2","","","","","","","",""
"npch109a","","npch109a_LOD_2","","","","","","","",""
"npc109b","","npc109b_LOD_2","","","","","","","",""
"npch109b","","npch109b_LOD_2","","","","","","","",""
"npc110a","","npc110a_LOD_2","","","","","","","",""
"npch110a","","npch110a_LOD_2","","","","","","","",""
"npc110b","","npc110b_LOD_2","","","","","","","",""
"npch110b","","npch110b_LOD_2","","","","","","","",""
"npc111a","","","","","","","","","",""
"npch111a","","","","","","","","","",""
"npc111b","","","","","","","","","",""
"npc112a","","","","","","","","","",""
"npch112a","","","","","","","","","",""
"npc112f","","","","","","","","","",""
"chr1000","","chr1000_LOD_2","","","","","","","",""
