int 0,string 1,string 2,string 3,string 4,string 5,string 6,string 7,string 8,string 9,string 10,string 11
3534,"{fs20}{fa2}","","","","","","","","","",""
3535,"{fs20}{fa2}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
3536,"{fs20}{fa2}{fc(ff2400)}","","","","","","","","","",""
3600,"{fs18}{fa0}","","","","","","","","","",""
3601,"{fs18}","","","","","","","","","",""
3602,"{fs20}","","","","","","","","","",""
3700,"{fs20}{fa0}{b1}{bt1}{bc(303030)}{tl14}","","","","","","","","","",""
3701,"{fs20}{fa0}{b1}{bt1}{bc(ff7200)}{tl14}","","","","","","","","","",""
3800,"{fs22}","","","","","","","","","",""
3801,"{fs18}{fa0}","","","","","","","","","",""
3802,"{fs18}{fa2}","","","","","","","","","",""
3803,"{fs18}","","","","","","","","","",""
3804,"{fs18}","","","","","","","","","",""
3805,"{fs18}{fa0}","","","","","","","","","",""
3806,"{fs18}{fa0}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
3807,"{fs18}{fa2}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
3808,"{fs18}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
3809,"{fs18}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
3810,"{fs14}{fa2}{fc(000000)}","","","","","","","","","",""
3811,"{fs14}{fa0}{fc(000000)}","","","","","","","","","",""
3812,"{fs14}{fc(000000)}","","","","","","","","","",""
3813,"{fs14}{fa2}{fc(ea9a2c)}","","","","","","","","","",""
3814,"{fs14}{fa0}{fc(ea9a2c)}","","","","","","","","","",""
3815,"{fs14}{fc(ea9a2c)}","","","","","","","","","",""
3816,"{fs14}{fa2}{fc(808080)}","","","","","","","","","",""
3817,"{fs14}{fa0}{fc(808080)}","","","","","","","","","",""
3818,"{fs14}{fc(808080)}","","","","","","","","","",""
3820,"{fs22}{fa0}","","","","","","","","","",""
3821,"{fs22}{fa2}","","","","","","","","","",""
3822,"{fs26}{fa0}","","","","","","","","","",""
3823,"{fs20}{fa0}{lm18}","","","","","","","","","",""
3824,"{fa0}","","","","","","","","","",""
3900,"{fs22}{fa0}","","","","","","","","","",""
3901,"{fs26}","","","","","","","","","",""
3902,"{fs18}{fa0}","","","","","","","","","",""
3903,"{fs18}{fa2}","","","","","","","","","",""
3904,"{fs18}{fa0}{fc(00f6ff)}","","","","","","","","","",""
3905,"{fs18}{fa2}{fc(00f6ff)}","","","","","","","","","",""
3906,"{fs18}{fa0}{fc(ff2400)}","","","","","","","","","",""
3907,"{fs18}{fa2}{fc(ff2400)}","","","","","","","","","",""
3908,"{fs20}","","","","","","","","","",""
3909,"{fs20}{fa0}","","","","","","","","","",""
3910,"{fs20}{fa0}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
3911,"{fs20}{fa0}","","","","","","","","","",""
3912,"{fs20}{fa0}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
3913,"{fs20}{fa2}","","","","","","","","","",""
3914,"{fs20}{fa2}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
3915,"{fs20}{fa0}","","","","","","","","","",""
3916,"{fs18}{fa0}{la0}","","","","","","","","","",""
3917,"{fs18}{fa0}","","","","","","","","","",""
3918,"{fs18}{fa0}{fc(808080)}","","","","","","","","","",""
3919,"{fs18}{fa0}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
3920,"{fs18}{fa0}","","","","","","","","","",""
3921,"{fs18}{fa0}{fc(808080)}","","","","","","","","","",""
3922,"{fs18}{fa0}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
3923,"{fs22}{fa2}","","","","","","","","","",""
3924,"{fs22}{fa2}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
3925,"{fs22}{fa2}{fc(00f6ff)}{b1}{bt1}{bc(008aff)}{ba(32)}","","","","","","","","","",""
3926,"{fs22}{fa2}{fc(ff2400)}","","","","","","","","","",""
3927,"{fs20}{fa0}","","","","","","","","","",""
3928,"{fs24}{fa2}{fc(ea9a2c)}","","","","","","","","","",""
3929,"{fs24}{fa2}{fc(00f6ff)}","","","","","","","","","",""
3930,"{fs20}","","","","","","","","","",""
3931,"{fs20}{fa0}","","","","","","","","","",""
3932,"{fs22}{fa0}","","","","","","","","","",""
4000,"{fs32}{fa0}{la0}{lm10}","","","","","","","","","",""
4001,"{fs36}{fa0}","","","","","","","","","",""
4002,"{fs36}{fa2}","","","","","","","","","",""
4003,"{fs36}{fa0}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
4004,"{fs36}{fa2}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
4005,"{fs24}","","","","","","","","","",""
4006,"{fs24}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
4007,"{fs30}{fa0}","","","","","","","","","",""
4008,"{fs36}{fa2}{fc(ff8600)}","","","","","","","","","",""
4009,"{fs30}{fa0}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
4010,"{fs36}{fa2}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
4011,"{fs20}","","","","","","","","","",""
4100,"{fs20}{fa0}{la0}{lm13}","","","","","","","","","",""
4101,"{fs20}{fa0}","","","","","","","","","",""
4102,"{fs20}{fa0}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
4200,"{fs20}{fa0}","","","","","","","","","",""
4201,"{fs20}{fa2}","","","","","","","","","",""
4202,"{fs20}","","","","","","","","","",""
4203,"{fs20}","","","","","","","","","",""
4204,"{fs54}{fa2}","","","","","","","","","",""
4205,"{fs30}","","","","","","","","","",""
4206,"{fs28}{fa0}","","","","","","","","","",""
4207,"{fs36}{fa2}","","","","","","","","","",""
4208,"{fs20}","","","","","","","","","",""
4209,"{fs18}{fa0}{la0}{lm14}","","","","","","","","","",""
4210,"{fs16}{fc(fffc00)}","","","","","","","","","",""
4211,"{fs16}{fc(b4ff00)}","","","","","","","","","",""
4212,"{fs18}{fa2}{fc(ea9a2c)}","","","","","","","","","",""
4213,"{fs18}{fa2}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
4300,"{fs20}{fa0}","","","","","","","","","",""
4301,"{fs20}{fa0}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
4302,"{fs14}{fa0}","","","","","","","","","",""
4303,"{fs18}{fa0}","","","","","","","","","",""
4304,"{fs18}{fa0}{lm10}","","","","","","","","","",""
5000,"{fs20}{fa0}{b1}{bt1}{bc(303030)}{tl14}","","","","","","","","","",""
5001,"{fs20}{fa0}{b1}{bt1}{bc(ff7200)}{tl14}","","","","","","","","","",""
5002,"{fs24}","","","","","","","","","",""
5003,"{fs20}{fa0}{b1}{bt1}{bc(000000)}","","","","","","","","","",""
5004,"{fs20}{fa0}{b1}{bt1}{bc(ff7800)}","","","","","","","","","",""
5005,"{fs16}{fa2}{b1}{bt1}{bc(000000)}","","","","","","","","","",""
5006,"{fs20}{fa0}{b1}{bt1}{bc(FFFFFF)}{ba(33)}{ct1}","","","","","","","","","",""
5007,"{fs16}{fa2}{b1}{bt1}{bc(FFFFFF)}{ba(33)}{ct1}","","","","","","","","","",""
5008,"","","","","","","","","","",""
5009,"","","","","","","","","","",""
5010,"{fs8}{fa1}{fc(999999)}","","","","","","","","","",""
10000,"{fs32}{fa0}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
10001,"{fs32}{fa1}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
10002,"{fs32}{fa2}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
10003,"{fs24}{fa0}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
10004,"{fs24}{fa1}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
10005,"{fs24}{fa2}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
10006,"{fs20}{fa0}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
10007,"{fs20}{fa1}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
10008,"{fs20}{fa2}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
10009,"{fs16}{fa0}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
10010,"{fs16}{fa1}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
10011,"{fs16}{fa2}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
10012,"{fs32}{fa0}{b1}{bt1}{bc(FFFFFF)}{ba(33)}{ct1}","","","","","","","","","",""
10013,"{fs32}{fa1}{b1}{bt1}{bc(FFFFFF)}{ba(33)}{ct1}","","","","","","","","","",""
10014,"{fs32}{fa2}{b1}{bt1}{bc(FFFFFF)}{ba(33)}{ct1}","","","","","","","","","",""
10015,"{fs24}{fa0}{b1}{bt1}{bc(FFFFFF)}{ba(33)}{ct1}","","","","","","","","","",""
10016,"{fs24}{fa1}{b1}{bt1}{bc(FFFFFF)}{ba(33)}{ct1}","","","","","","","","","",""
10017,"{fs24}{fa2}{b1}{bt1}{bc(FFFFFF)}{ba(33)}{ct1}","","","","","","","","","",""
10018,"{fs20}{fa0}{b1}{bt1}{bc(FFFFFF)}{ba(33)}{ct1}","","","","","","","","","",""
10019,"{fs20}{fa1}{b1}{bt1}{bc(FFFFFF)}{ba(33)}{ct1}","","","","","","","","","",""
10020,"{fs20}{fa2}{b1}{bt1}{bc(FFFFFF)}{ba(33)}{ct1}","","","","","","","","","",""
10021,"{fs16}{fa0}{b1}{bt1}{bc(FFFFFF)}{ba(33)}{ct1}","","","","","","","","","",""
10022,"{fs16}{fa1}{b1}{bt1}{bc(FFFFFF)}{ba(33)}{ct1}","","","","","","","","","",""
10023,"{fs16}{fa2}{b1}{bt1}{bc(FFFFFF)}{ba(33)}{ct1}","","","","","","","","","",""
10024,"{fs32}{fa0}{fc(999999)}","","","","","","","","","",""
10025,"{fs32}{fa1}{fc(999999)}","","","","","","","","","",""
10026,"{fs32}{fa2}{fc(999999)}","","","","","","","","","",""
10027,"{fs24}{fa0}{fc(999999)}","","","","","","","","","",""
10028,"{fs24}{fa1}{fc(999999)}","","","","","","","","","",""
10029,"{fs24}{fa2}{fc(999999)}","","","","","","","","","",""
10030,"{fs20}{fa0}{fc(999999)}","","","","","","","","","",""
10031,"{fs20}{fa1}{fc(999999)}","","","","","","","","","",""
10032,"{fs20}{fa2}{fc(999999)}","","","","","","","","","",""
10033,"{fs16}{fa0}{fc(999999)}","","","","","","","","","",""
10034,"{fs16}{fa1}{fc(999999)}","","","","","","","","","",""
10035,"{fs16}{fa2}{fc(999999)}","","","","","","","","","",""
10036,"{fs12}{fa0}{fc(333333)}","","","","","","","","","",""
10037,"{fs12}{fa1}{fc(333333)}","","","","","","","","","",""
10038,"{fs12}{fa2}{fc(333333)}","","","","","","","","","",""
10039,"{fs32}{fa0}{fc(ffdf7f)}","","","","","","","","","",""
10040,"{fs32}{fa1}{fc(ffdf7f)}","","","","","","","","","",""
10041,"{fs32}{fa2}{fc(ffdf7f)}","","","","","","","","","",""
10042,"{fs24}{fa0}{fc(ffdf7f)}","","","","","","","","","",""
10043,"{fs24}{fa1}{fc(ffdf7f)}","","","","","","","","","",""
10044,"{fs24}{fa2}{fc(ffdf7f)}","","","","","","","","","",""
10045,"{fs20}{fa0}{fc(ffdf7f)}","","","","","","","","","",""
10046,"{fs20}{fa1}{fc(ffdf7f)}","","","","","","","","","",""
10047,"{fs20}{fa2}{fc(ffdf7f)}","","","","","","","","","",""
10048,"{fs16}{fa0}{fc(ffdf7f)}","","","","","","","","","",""
10049,"{fs16}{fa1}{fc(ffdf7f)}","","","","","","","","","",""
10050,"{fs16}{fa2}{fc(ffdf7f)}","","","","","","","","","",""
10051,"{fs20}{fa1}{ia0}{lm12}","","","","","","","","","",""
10052,"{fs20}{fa1}{ia0}{lm12}{b1}{bt1}{bc(FFFFFF)}{ba(33)}{ct1}","","","","","","","","","",""
10053,"{fs32}{fa1}{fc(cbff33)}","","","","","","","","","",""
10054,"{fs20}{fa1}{fc(cbff33)}","","","","","","","","","",""
10055,"{fs32}{fa0}{fc(ff8800)}","","","","","","","","","",""
10056,"{fs32}{fa1}{fc(ff8800)}","","","","","","","","","",""
10057,"{fs32}{fa2}{fc(ff8800)}","","","","","","","","","",""
10058,"{fs24}{fa0}{fc(ff8800)}","","","","","","","","","",""
10059,"{fs24}{fa1}{fc(ff8800)}","","","","","","","","","",""
10060,"{fs24}{fa2}{fc(ff8800)}","","","","","","","","","",""
10061,"{fs20}{fa0}{fc(ff8800)}","","","","","","","","","",""
10062,"{fs20}{fa1}{fc(ff8800)}","","","","","","","","","",""
10063,"{fs20}{fa2}{fc(ff8800)}","","","","","","","","","",""
10064,"{fs16}{fa0}{fc(ff8800)}","","","","","","","","","",""
10065,"{fs16}{fa1}{fc(ff8800)}","","","","","","","","","",""
10066,"{fs16}{fa2}{fc(ff8800)}","","","","","","","","","",""
10067,"{fs20}{fa0}{fc(00ffff)}","","","","","","","","","",""
10068,"{fs20}{fa1}{fc(00ffff)}","","","","","","","","","",""
10069,"{fs20}{fa2}{fc(00ffff)}","","","","","","","","","",""
10070,"{fs16}{fa0}{fc(00ffff)}","","","","","","","","","",""
10071,"{fs16}{fa1}{fc(00ffff)}","","","","","","","","","",""
10072,"{fs16}{fa2}{fc(00ffff)}","","","","","","","","","",""
10073,"{fs20}{fa0}{fc(ff0000)}","","","","","","","","","",""
10074,"{fs20}{fa1}{fc(ff0000)}","","","","","","","","","",""
10075,"{fs20}{fa2}{fc(ff0000)}","","","","","","","","","",""
10076,"{fs16}{fa0}{fc(ff0000)}","","","","","","","","","",""
10077,"{fs16}{fa1}{fc(ff0000)}","","","","","","","","","",""
10078,"{fs16}{fa2}{fc(ff0000)}","","","","","","","","","",""
10079,"{fs16}{fa0}{fc(bfff00)}","","","","","","","","","",""
10080,"{fs16}{fa1}{fc(bfff00)}","","","","","","","","","",""
10081,"{fs16}{fa2}{fc(bfff00)}","","","","","","","","","",""
10082,"{fs16}{fa2}{fc(ffff00)}","","","","","","","","","",""
10083,"{fs20}{fa2}{fc(ffff00)}","","","","","","","","","",""
10084,"{fs32}{fa1}{fc(ffff00)}","","","","","","","","","",""
10085,"{fs16}{fa1}{fc(b2b2b2)}{tl6}","","","","","","","","","",""
10086,"{fs32}{fa1}{fc(ff8800)}{b1}{bc(333333)}","","","","","","","","","",""
10087,"{fs12}{fa0}","","","","","","","","","",""
10088,"{fs20}{fa0}{la0}{lm12}","","","","","","","","","",""
10089,"{fs20}{fa0}{la0}{lm12}{b1}{bt1}{bc(FFFFFF)}{ba(33)}{ct1}","","","","","","","","","",""
10090,"{fs64}{fa1}{fc(ff0000)}","","","","","","","","","",""
10091,"{fs64}{fa1}{b1}{bt1}{bc(FFFFFF)}{ba(33)}{ct1}","","","","","","","","","",""
10098,"{fs16}{fa2}{fc(999999)}","","","","","","","","","",""
10099,"{fs14}{fa2}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
10100,"{fs32}{fc(FFFFFF)}{ia1}{b1}{bt1}{ft3}","","","","","","","","","",""
10101,"{fs24}{ia1}{ct1}{b1}{bc(FFFFFF)}{ba(33)}{bt1}","","","","","","","","","",""
10102,"{fs24}{ia1}","","","","","","","","","",""
10103,"{fs32}{ia0}{b1}{bt1}{ft3}","","","","","","","","","",""
10104,"{fs20}{fa2}{fc(ffdf7f)}{b1}{bt1}{ft3}","","","","","","","","","",""
10105,"{fs16}{fa2}{fc(999999)}","","","","","","","","","",""
10106,"{fs32}{fa0}{fc(262626)}{b1}{bt1}{bc(262626)}{ft3}","","","","","","","","","",""
10107,"{fs32}{fa0}{b1}{bt1}{bc(999999)}{ft3}","","","","","","","","","",""
10108,"{fs24}{fa0}{fc(262626)}{b1}{bt1}{bc(262626)}{ft3}","","","","","","","","","",""
10109,"{fs24}{fa0}{b1}{bt1}{ft3}","","","","","","","","","",""
10110,"{fs16}{fa2}{fc(999999)}","","","","","","","","","",""
10111,"{fs16}{fa2}{fc(262626)}","","","","","","","","","",""
10112,"{fs20}{fc(ffdf7f)}{fa0}{ft3}","","","","","","","","","",""
10113,"{fs32}{fa0}{la0}{ft3}","","","","","","","","","",""
10114,"{fs24}{fc(999999)}{fa0}{b1}{bt1}{bc(323232)}{ft3}","","","","","","","","","",""
10115,"{fs32}{fc(999999)}{fa0}{b1}{bt1}{bc(323232)}{ft3}","","","","","","","","","",""
10120,"{fs32}{fa0}{fc(ff0000)}","","","","","","","","","",""
10121,"{fs32}{fa1}{fc(ff0000)}","","","","","","","","","",""
10122,"{fs32}{fa2}{fc(ff0000)}","","","","","","","","","",""
10123,"{fs24}{fa0}{fc(ff0000)}","","","","","","","","","",""
10124,"{fs24}{fa1}{fc(ff0000)}","","","","","","","","","",""
10125,"{fs24}{fa2}{fc(ff0000)}","","","","","","","","","",""
10126,"{fs20}{fa0}{fc(ff0000)}","","","","","","","","","",""
10127,"{fs20}{fa1}{fc(ff0000)}","","","","","","","","","",""
10128,"{fs20}{fa2}{fc(ff0000)}","","","","","","","","","",""
10129,"{fs16}{fa0}{fc(ff0000)}","","","","","","","","","",""
10130,"{fs16}{fa1}{fc(ff0000)}","","","","","","","","","",""
10131,"{fs16}{fa2}{fc(ff0000)}","","","","","","","","","",""
10150,"{fs16}{fa1}{tl6}","","","","","","","","","",""
10151,"{fs16}{fa1}{b1}{bt1}{bc(FFFFFF)}{ba(33)}{ct1}{tl6}","","","","","","","","","",""
10160,"{fs32}{fa0}{fc(fff8ee)}","","","","","","","","","",""
10161,"{fs32}{fa1}{fc(fff8ee)}","","","","","","","","","",""
10162,"{fs32}{fa2}{fc(fff8ee)}","","","","","","","","","",""
10163,"{fs24}{fa0}{fc(fff8ee)}","","","","","","","","","",""
10164,"{fs24}{fa1}{fc(fff8ee)}","","","","","","","","","",""
10165,"{fs24}{fa2}{fc(fff8ee)}","","","","","","","","","",""
10166,"{fs20}{fa0}{fc(fff8ee)}","","","","","","","","","",""
10167,"{fs20}{fa1}{fc(fff8ee)}","","","","","","","","","",""
10168,"{fs20}{fa2}{fc(fff8ee)}","","","","","","","","","",""
10169,"{fs16}{fa0}{fc(fff8ee)}","","","","","","","","","",""
10170,"{fs16}{fa1}{fc(fff8ee)}","","","","","","","","","",""
10171,"{fs16}{fa2}{fc(fff8ee)}","","","","","","","","","",""
10200,"{fs16}{fa0}{b1}{bt1}","","","","","","","","","",""
10201,"{fs16}{fa1}{fc(bfff00)}","","","","","","","","","",""
10202,"{fs16}{fa1}{fc(999999)}","","","","","","","","","",""
10250,"{fs32}{fa1}","","","","","","","","","",""
10251,"{fs32}{fa1}{fc(262626)}{b1}{bt1}{bc(262626)}","","","","","","","","","",""
10252,"{fs20}{fa0}{ia1}{fc(999999)}{lm12}","","","","","","","","","",""
10260,"{fs20}{fa0}{fc(FFFF00)}","","","","","","","","","",""
10300,"{fs32}{fa0}{la1}{lm28}{b1}{bt1}","","","","","","","","","",""
10301,"{fs32}{fa0}{la1}{lm28}{fc(262626)}{b1}{bt1}{bc(262626)}","","","","","","","","","",""
10400,"{fs24}{fa0}{la2}{fc(fff8ee)}","","","","","","","","","",""
10401,"{fs24}{fa0}{la2}{fc(005a5b)}{fal(33)}","","","","","","","","","",""
10402,"{fs48}{fa2}{la2}{fc(fff8ee)}","","","","","","","","","",""
10403,"{fs48}{fa2}{la2}{fc(005a5b)}{fal(33)}","","","","","","","","","",""
10405,"{fs12}{fa2}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
10410,"{fs20}{fa2}{la2}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
10411,"{fs20}{fa2}{la2}{fc(ffa454)}{fal(4d)}","","","","","","","","","",""
10412,"{fs20}{fa2}{la2}{fc(fff8ee)}","","","","","","","","","",""
10413,"{fs14}{fa2}{la2}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
10414,"{fs14}{fa2}{la2}{fc(ffa454)}{fal(4d)}","","","","","","","","","",""
10415,"{fs14}{fa2}{la2}{fc(fff8ee)}","","","","","","","","","",""
10416,"{fs16}{fa2}{la2}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
10417,"{fs16}{fa2}{la2}{fc(ffa454)}{fal(4d)}","","","","","","","","","",""
10418,"{fs16}{fa2}{la2}{fc(fff8ee)}","","","","","","","","","",""
10419,"{fs10}{fa2}{la2}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
10420,"{fs10}{fa2}{la2}{fc(ffa454)}{fal(4d)}","","","","","","","","","",""
10421,"{fs10}{fa2}{la2}{fc(fff8ee)}","","","","","","","","","",""
10425,"{fs14}{fa1}{la1}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
10426,"{fs14}{fa1}{la1}{fc(ffa454)}{fal(4d)}","","","","","","","","","",""
10427,"{fs14}{fa1}{la1}{fc(fff8ee)}","","","","","","","","","",""
11000,"{fs18}{fa0}{la0}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
11010,"{fs14}{fa2}{la1}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
11011,"{fs14}{fa0}{la1}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
20000,"{fs32}{fa0}{fc(ffa454)}{fal(4d)}","","","","","","","","","",""
20001,"{fs32}{fa1}{fc(ffa454)}{fal(4d)}","","","","","","","","","",""
20002,"{fs32}{fa2}{fc(ffa454)}{fal(4d)}","","","","","","","","","",""
20003,"{fs24}{fa0}{fc(ffa454)}{fal(4d)}","","","","","","","","","",""
20004,"{fs24}{fa1}{fc(ffa454)}{fal(4d)}","","","","","","","","","",""
20005,"{fs24}{fa2}{fc(ffa454)}{fal(4d)}","","","","","","","","","",""
20006,"{fs20}{fa0}{fc(ffa454)}{fal(4d)}","","","","","","","","","",""
20007,"{fs20}{fa1}{fc(ffa454)}{fal(4d)}","","","","","","","","","",""
20008,"{fs20}{fa2}{fc(ffa454)}{fal(4d)}","","","","","","","","","",""
20009,"{fs16}{fa0}{fc(ffa454)}{fal(4d)}","","","","","","","","","",""
20010,"{fs16}{fa1}{fc(ffa454)}{fal(4d)}","","","","","","","","","",""
20011,"{fs16}{fa2}{fc(ffa454)}{fal(4d)}","","","","","","","","","",""
20020,"{fs32}{fa0}{fc(000000)}","","","","","","","","","",""
20021,"{fs32}{fa1}{fc(000000)}","","","","","","","","","",""
20022,"{fs32}{fa2}{fc(000000)}","","","","","","","","","",""
20023,"{fs24}{fa0}{fc(000000)}","","","","","","","","","",""
20024,"{fs24}{fa1}{fc(000000)}","","","","","","","","","",""
20025,"{fs24}{fa2}{fc(000000)}","","","","","","","","","",""
20026,"{fs20}{fa0}{fc(000000)}","","","","","","","","","",""
20027,"{fs20}{fa1}{fc(000000)}","","","","","","","","","",""
20028,"{fs20}{fa2}{fc(000000)}","","","","","","","","","",""
20029,"{fs16}{fa0}{fc(000000)}","","","","","","","","","",""
20030,"{fs16}{fa1}{fc(000000)}","","","","","","","","","",""
20031,"{fs16}{fa2}{fc(000000)}","","","","","","","","","",""
20040,"{fs32}{fa0}{fc(ff0000)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20041,"{fs32}{fa1}{fc(ff0000)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20042,"{fs32}{fa2}{fc(ff0000)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20043,"{fs24}{fa0}{fc(ff0000)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20044,"{fs24}{fa1}{fc(ff0000)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20045,"{fs24}{fa2}{fc(ff0000)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20046,"{fs20}{fa0}{fc(ff0000)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20047,"{fs20}{fa1}{fc(ff0000)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20048,"{fs20}{fa2}{fc(ff0000)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20049,"{fs16}{fa0}{fc(ff0000)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20050,"{fs16}{fa1}{fc(ff0000)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20051,"{fs16}{fa2}{fc(ff0000)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20060,"{fs32}{fa0}{fc(999999)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20061,"{fs32}{fa1}{fc(999999)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20062,"{fs32}{fa2}{fc(999999)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20063,"{fs24}{fa0}{fc(999999)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20064,"{fs24}{fa1}{fc(999999)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20065,"{fs24}{fa2}{fc(999999)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20066,"{fs20}{fa0}{fc(999999)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20067,"{fs20}{fa1}{fc(999999)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20068,"{fs20}{fa2}{fc(999999)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20069,"{fs16}{fa0}{fc(999999)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20070,"{fs16}{fa1}{fc(999999)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20071,"{fs16}{fa2}{fc(999999)}{b1}{bt1}{bc(ffff44)}{ba(7f)}","","","","","","","","","",""
20100,"{fs20}{fa0}{fc(fff8ee)}{s}{sc(005a5b)}{sa(4d)}{so2}","","","","","","","","","",""
20105,"{fs24}{ia1}{lm12}","","","","","","","","","",""
20110,"{fs16}{fa1}{fc(b2b2b2)}{tl4}","","","","","","","","","",""
20111,"{fs16}{fa1}{b1}{bt1}{bc(ffff44)}{ba(7f)}{tl4}","","","","","","","","","",""
20112,"{fs16}{fa1}{fc(ff8800)}{b1}{bt1}{bc(ff8800)}{tl4}","","","","","","","","","",""
20115,"{fs16}{fa1}{fc(b2b2b2)}{tl6}","","","","","","","","","",""
20116,"{fs16}{fa1}{b1}{bt1}{bc(ffff44)}{ba(7f)}{tl6}","","","","","","","","","",""
20117,"{fs16}{fa1}{fc(ff8800)}{b1}{bt1}{bc(ff8800)}{tl6}","","","","","","","","","",""
